[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R3 G4 Y2 G3 G2 B2 B3 Y4 Y2 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 Y1 1726
SECOND a5- Y4 Y3 0
FIRST e2+ R3 B3 8
SECOND e6+ Y2 G4 0
FIRST e6- Y2 R3 8
SECOND d3+ G4 R4 0
FIRST f6- G2 Y2 8
SECOND f3- Y3 G2 0
FIRST e3+ B3 B1 8
SECOND b5- G4 B1 0
FIRST a5+ G4 R1 8
SECOND c4+ R4 B4 0
FIRST f2- R3 R4 8
SECOND e5+ B1 Y3 0
FIRST f5+ Y2 R2 8
SECOND d3- G2 R1 0
FIRST d6+ R2 G2 8
SECOND a6- B3 R4 0
FIRST d6- G2 G1 8
SECOND b3+ B4 G3 0
FIRST a4+ R4 Y3 9
SECOND a3- G3 R3 0
FIRST f2+ Y3 G3 9
SECOND f1- Y3 G1 0
FIRST f1+ G3 B4 9
SECOND e4+ R3 Y4 0
FIRST b4- B4 R1 9
SECOND a6+ R1 R3 0
FIRST b6- Y1 B2 8
SECOND c4- G1 G1 0
FIRST d5+ B2 G4 8
SECOND b2+ Y4 Y2 0
FIRST b3- G4 G1 7
SECOND c5- R4 R1 0
FIRST b5+ B1 B2 7
SECOND d4+ R1 B2 0
FIRST d5- B2 Y4 6
SECOND f4+ G1 Y1 0
FIRST a3+ Y4 B1 8
SECOND c2+ B2 B1 0
FIRST f5- R1 Y4 7
SECOND c6- Y1 G3 0
FIRST b6+ G1 B4 7
SECOND e4- B2 G2 0
FIRST b4+ Y4 B3 6
SECOND e2- Y2 B3 0
FIRST b2- B4 R2 6
SECOND c1+ G3 R2 0
FIRST e1+ B3 Y1 5
SECOND b1- R2 Y1 0
FIRST e5- R2 R4 6
SECOND d2+ B1 R2 0
FIRST a2+ R4 Y3 5
SECOND a1+ Y1 B4 0
FIRST e1- Y3 X0 5
SECOND d1+ R3 X0 0
FIRST c5+ R1 X0 3
SECOND c3- G2 X0 0
FIRST f4- B1 X0 3
SECOND c1- B3 X0 0
FIRST d2- G1 X0 2
SECOND b1+ B4 X0 0
FIRST a2- Y1 X0 2
SECOND c2- R2 X0 0
FINISH
SCOREFIRST 458
SCORESECOND 100
