[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G4 Y2 Y3 R4 Y1 R4 G2 B2 B1 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 B2 1632
SECOND d2- G2 B1 1
FIRST e2+ G4 B1 9
SECOND a3+ B1 R1 0
FIRST d1+ Y2 B4 6
SECOND a2+ R1 R3 0
FIRST a3- B1 B3 6
SECOND c5+ B2 Y3 0
FIRST a2- Y1 R2 7
SECOND b3+ B1 G1 0
FIRST c5- B2 R1 7
SECOND d5- R3 Y2 0
FIRST b3- R1 Y1 7
SECOND c6- G1 G3 0
FIRST b2- Y1 G2 7
SECOND f5- G3 R2 0
FIRST f2- B4 G4 7
SECOND d3- Y3 Y4 0
FIRST b5+ R2 Y3 7
SECOND c4+ G2 Y4 0
FIRST f1+ G4 B1 7
SECOND a5+ R4 R1 0
FIRST b2+ B1 R2 7
SECOND d2+ R1 Y1 0
FIRST e1- R2 B3 7
SECOND c4- Y2 B3 0
FIRST b4+ G2 G1 7
SECOND a6- Y4 R4 0
FIRST a1+ G1 B2 7
SECOND b6- Y1 G4 0
FIRST b5- B2 B4 7
SECOND f3- G4 Y2 0
FIRST e3+ B4 R4 6
SECOND b1- Y2 R3 0
FIRST f2+ R4 G1 7
SECOND e1+ Y4 R2 0
FIRST b1+ G1 R1 6
SECOND c1+ R3 B4 0
FIRST b4- R1 G3 6
SECOND d6- R2 G3 0
FIRST f4+ B3 Y4 6
SECOND f4- B4 B2 0
FIRST f1- Y4 G2 6
SECOND c2+ R2 G4 0
FIRST c2- G2 R3 6
SECOND f6- B3 G1 0
FIRST f5+ G3 G3 5
SECOND e4+ R4 Y3 0
FIRST e5+ Y3 Y2 5
SECOND e2- Y3 B3 0
FIRST e5- B3 Y4 5
SECOND a6+ B2 Y1 0
FIRST e4- Y4 R3 5
SECOND c3- Y1 B4 0
FIRST d5+ Y3 X0 4
SECOND a5- B4 X0 0
FIRST e6- R3 X0 3
SECOND c1- G4 X0 0
FIRST e6+ R3 X0 3
SECOND b6+ B3 X0 0
FIRST d4+ G3 X0 3
SECOND a4+ G3 X0 0
FIRST d6+ Y2 X0 2
SECOND d3+ G1 X0 0
FINISH
SCOREFIRST 508
SCORESECOND 82
