[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y3 R2 B2 R4 R1 R2 R2 R3 G4 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 B3 1799
SECOND c6- G4 B2 0
FIRST b4+ R2 Y2 8
SECOND d2+ R3 Y4 0
FIRST b5- Y2 R3 7
SECOND b1+ R2 G1 0
FIRST b4- B2 R1 8
SECOND b2+ B2 G3 1
FIRST d3- Y3 B1 8
SECOND c4- Y4 Y2 1
FIRST d2- B3 G4 8
SECOND b6- Y3 B1 0
FIRST b6+ R3 B1 8
SECOND c1+ R2 B4 0
FIRST d3+ G4 B3 8
SECOND f4- G3 B4 0
FIRST d1+ B3 G1 8
SECOND e6- B1 B3 0
FIRST e6+ B1 R4 8
SECOND a1+ B4 Y1 0
FIRST f6- R1 G4 8
SECOND c2- B4 R3 0
FIRST d6+ G1 Y3 8
SECOND e4- Y1 R4 0
FIRST d6- R1 R2 8
SECOND e5- R3 R4 0
FIRST d5+ B1 Y4 7
SECOND f4+ R4 Y1 0
FIRST b2- R2 B4 8
SECOND c2+ Y1 R1 0
FIRST e4+ Y3 Y2 8
SECOND e1- R1 G2 0
FIRST c1- Y2 Y1 7
SECOND a5- G1 G2 0
FIRST d5- Y1 Y1 8
SECOND b3+ Y2 Y2 0
FIRST d4+ Y1 G2 7
SECOND f5- G2 Y4 0
FIRST b3- G2 G1 8
SECOND a4+ B3 B2 0
FIRST e3+ G1 G2 7
SECOND b1- Y4 B3 0
FIRST a2+ G2 R3 7
SECOND c4+ Y2 Y3 0
FIRST c5+ R4 G3 7
SECOND a3- G2 G3 0
FIRST e2- G3 B4 6
SECOND c3- R4 G4 0
FIRST e1+ R3 B2 6
SECOND a2- G4 G1 0
FIRST a3+ B2 G3 6
SECOND c5- G3 R1 0
FIRST b5+ G3 Y4 6
SECOND f5+ Y3 B1 0
FIRST e2+ G4 X0 5
SECOND a6+ R1 X0 0
FIRST f2- B4 X0 4
SECOND a6- G1 X0 0
FIRST f2+ Y4 X0 5
SECOND a5+ B2 X0 0
FIRST f3- Y4 X0 3
SECOND f1- B3 X0 0
FIRST f1+ B4 X0 3
SECOND e5+ B1 X0 0
FINISH
SCOREFIRST 468
SCORESECOND 112
