[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y2 R3 B4 Y3 Y3 B2 Y1 Y1 G4 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 G1 1910
SECOND b4- R1 Y4 1
FIRST b3+ G1 B2 7
SECOND b1- Y1 G2 1
FIRST d3+ Y3 Y1 6
SECOND c6- B2 Y3 1
FIRST c5+ Y2 B3 8
SECOND c2+ G2 G1 1
FIRST e2+ R3 R4 7
SECOND f5+ Y4 R3 1
FIRST c5- B2 Y4 8
SECOND b1+ R3 G3 1
FIRST b4+ Y1 Y4 7
SECOND b5+ Y1 R1 1
FIRST f6- B4 G3 7
SECOND d4+ G4 Y4 1
FIRST e6+ R4 R1 7
SECOND e1+ G3 G4 0
FIRST e2- G3 R1 7
SECOND e4+ Y4 R3 0
FIRST b5- R1 G4 7
SECOND b2+ R1 B1 0
FIRST b3- R1 G3 7
SECOND b6+ G1 B1 0
FIRST d2+ B3 B4 7
SECOND d1+ R3 R4 0
FIRST d2- G3 B1 7
SECOND f3- G4 B2 0
FIRST b6- B1 Y2 7
SECOND c1+ Y3 R4 0
FIRST e4- G4 R3 7
SECOND a3- R4 Y2 0
FIRST d3- R3 G4 7
SECOND f4+ R4 R2 0
FIRST e3+ Y4 G1 7
SECOND f1- R2 R2 0
FIRST f4- B4 B3 6
SECOND c3- B1 Y3 0
FIRST f5- G4 R2 6
SECOND a3+ Y3 B3 0
FIRST e1- B3 G2 6
SECOND a4+ R2 G2 0
FIRST c4- G1 R2 6
SECOND d5- B2 G3 0
FIRST e5+ Y4 G2 6
SECOND e5- G2 G1 0
FIRST d5+ Y2 Y1 6
SECOND a6- Y2 B4 0
FIRST b2- Y1 B1 5
SECOND d6- B1 Y2 0
FIRST a2+ B1 R4 5
SECOND c2- G1 B4 0
FIRST e6- R4 B2 5
SECOND f2- G3 B3 0
FIRST c4+ R2 X0 4
SECOND f1+ Y2 X0 0
FIRST a5- G2 X0 4
SECOND a6+ B4 X0 0
FIRST a5+ R2 X0 3
SECOND d6+ B3 X0 0
FIRST c1- B2 X0 3
SECOND a2- B3 X0 0
FIRST a1+ G2 X0 2
SECOND f2+ B4 X0 0
FINISH
SCOREFIRST 594
SCORESECOND 94
