[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G3 R4 R2 R2 Y3 B4 R2 G2 G1 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 Y4 1653
SECOND b2+ G2 R3 0
FIRST c2- R2 G2 6
SECOND f4+ R3 B1 0
FIRST f5- Y3 B4 7
SECOND e3+ Y4 B3 0
FIRST d3+ G2 Y1 7
SECOND b3+ B1 G2 0
FIRST e4- R4 G4 8
SECOND b5- B3 Y1 0
FIRST b4+ G3 B4 7
SECOND a6+ G2 R3 0
FIRST e4+ G4 B2 7
SECOND c1+ G1 Y2 0
FIRST d4+ B4 B3 7
SECOND f2- R3 Y2 0
FIRST b2- B2 Y2 7
SECOND d2+ Y1 G3 0
FIRST d5- Y4 B1 7
SECOND e5+ G3 B4 0
FIRST c5+ B4 R3 7
SECOND e5- B4 G1 0
FIRST c2+ Y2 Y4 7
SECOND a3- Y2 R1 0
FIRST d5+ Y4 G1 7
SECOND a2+ R1 R2 0
FIRST e6- B3 B1 7
SECOND d6+ Y2 B3 0
FIRST e6+ R3 R1 7
SECOND b1- R2 B1 0
FIRST c1- B1 B2 7
SECOND c5- B1 Y4 0
FIRST b1+ B2 G3 7
SECOND a2- Y4 R4 0
FIRST f5+ G3 R3 7
SECOND a6- G1 Y1 0
FIRST f6- R3 Y1 6
SECOND d6- B4 B2 0
FIRST a5+ Y1 G1 7
SECOND c3- Y1 G3 0
FIRST a5- Y1 Y3 6
SECOND f1+ G3 G4 0
FIRST f4- Y3 Y2 6
SECOND c6- B2 Y3 0
FIRST b3- Y2 B3 6
SECOND a4+ R2 B2 0
FIRST e2- R1 G2 5
SECOND f2+ G4 R4 0
FIRST a3+ G2 G4 6
SECOND b4- R4 G4 0
FIRST f3- G4 R1 5
SECOND f1- Y3 R1 0
FIRST d3- G1 R4 5
SECOND a1+ R1 Y3 0
FIRST e2+ B1 X0 4
SECOND d2- R4 X0 0
FIRST e1+ R1 X0 4
SECOND b5+ B2 X0 0
FIRST e1- G1 X0 3
SECOND c4- G4 X0 0
FIRST d1+ R4 X0 3
SECOND b6+ Y3 X0 0
FIRST b6- B3 X0 2
SECOND c4+ B3 X0 0
FINISH
SCOREFIRST 356
SCORESECOND 136
