[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R1 R3 R1 B4 R2 Y4 B4 Y3 G4 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 G3 1641
SECOND b6- Y4 Y3 1
FIRST a3+ R3 Y4 7
SECOND e1- G4 B2 0
FIRST a3- G3 Y3 7
SECOND a5- Y1 B1 1
FIRST d3+ Y4 G1 6
SECOND b6+ B2 R4 0
FIRST c6- R2 R2 7
SECOND e2- Y3 Y1 1
FIRST e1+ Y3 B3 7
SECOND a2+ R4 R1 0
FIRST f1- B3 G3 8
SECOND b2- B1 R3 0
FIRST b1+ R1 Y1 7
SECOND c5+ R1 Y2 0
FIRST c5- G1 B4 7
SECOND d2+ Y1 G4 0
FIRST e2+ G3 G4 7
SECOND d2- Y3 R2 0
FIRST b1- Y1 B1 7
SECOND b3+ R3 B4 0
FIRST b5+ B4 Y2 7
SECOND c3- Y2 R2 0
FIRST b5- G4 Y1 6
SECOND b4- R2 R3 0
FIRST a1+ R1 G4 9
SECOND b2+ R3 G2 1
FIRST a2- B1 Y3 7
SECOND a6+ G4 Y2 0
FIRST b3- Y3 Y4 7
SECOND d6+ Y2 G3 0
FIRST c1- Y1 B2 7
SECOND e4+ G3 B1 0
FIRST a6- Y4 G1 7
SECOND e3+ B4 G1 0
FIRST a5+ G4 G2 6
SECOND c2- G2 G1 0
FIRST c2+ B2 B1 7
SECOND d5+ B4 G2 0
FIRST c1+ B1 R3 6
SECOND d1+ R2 B3 0
FIRST f1+ R3 R4 6
SECOND e4- G2 B3 0
FIRST b4+ R4 B2 6
SECOND a4+ B3 R4 0
FIRST d5- G1 Y2 6
SECOND e5+ B1 Y4 0
FIRST d4+ B2 G2 5
SECOND f4+ G1 B2 0
FIRST d6- G2 B3 5
SECOND f5- R4 R1 0
FIRST f2- B3 R4 5
SECOND e6- Y4 G3 0
FIRST c4- R4 X0 4
SECOND d3- G1 X0 0
FIRST f6- Y2 X0 3
SECOND e5- G3 X0 0
FIRST e6+ R2 X0 3
SECOND c4+ R1 X0 0
FIRST f5+ G2 X0 3
SECOND f3- B3 X0 0
FIRST f2+ Y2 X0 2
SECOND f4- B2 X0 0
FINISH
SCOREFIRST 252
SCORESECOND 114
