[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R3 R4 Y3 G3 R1 Y2 Y2 Y3 Y4 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 G3 1640
SECOND c6- Y2 R3 0
FIRST e2+ R3 B4 6
SECOND f4- G4 Y1 0
FIRST f2- Y3 B3 6
SECOND e4+ R3 G3 0
FIRST f2+ G3 R2 8
SECOND f4+ Y1 R2 0
FIRST f1+ B3 B2 6
SECOND a3- G3 R3 0
FIRST c5+ B2 B4 8
SECOND e6+ R2 G3 0
FIRST c5- R2 R2 6
SECOND d5- Y3 B4 0
FIRST b6+ R2 Y4 7
SECOND a3+ Y4 B1 0
FIRST b3- R4 G1 7
SECOND e6- Y2 B1 0
FIRST b3+ B4 Y3 8
SECOND b1- B4 Y3 0
FIRST d3+ Y3 G1 7
SECOND a6- Y3 G1 0
FIRST c3- B4 R3 7
SECOND e2- B1 G1 0
FIRST d3- R3 Y2 7
SECOND f5- G1 B2 0
FIRST b2+ Y4 Y1 7
SECOND d2+ B2 B3 0
FIRST e5+ R1 B3 7
SECOND d5+ B3 B4 0
FIRST e3+ B3 Y2 7
SECOND b5- B1 G4 0
FIRST b5+ Y2 B1 7
SECOND d1+ G4 R1 0
FIRST b6- Y2 G4 6
SECOND a5- R3 B2 0
FIRST b2- G4 B1 6
SECOND d2- G1 R2 0
FIRST b4+ G1 R4 6
SECOND c1- B2 R1 0
FIRST b1+ R4 B2 6
SECOND c4- B4 Y1 0
FIRST a6+ B2 Y4 6
SECOND e1+ Y1 Y4 0
FIRST a1+ Y4 G2 6
SECOND c2- Y4 R4 0
FIRST c4+ G2 R1 6
SECOND d6+ R4 G2 0
FIRST e1- R1 G4 5
SECOND d4+ G3 G2 0
FIRST c2+ G4 Y1 5
SECOND e4- R2 R4 0
FIRST f1- Y1 G2 4
SECOND b4- G2 B3 0
FIRST e5- B1 X0 4
SECOND f5+ R1 X0 0
FIRST f6- Y1 X0 3
SECOND d6- G2 X0 0
FIRST c1+ G2 X0 3
SECOND a2+ R4 X0 0
FIRST a5+ B1 X0 3
SECOND a4+ R1 X0 0
FIRST f3- G1 X0 2
SECOND a2- B3 X0 0
FINISH
SCOREFIRST 366
SCORESECOND 92
