[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y4 Y4 G1 G4 Y1 Y1 G2 G3 B4 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 B4 1700
SECOND d2- B4 R1 1
FIRST e2+ Y4 B4 6
SECOND b2+ G3 Y4 0
FIRST d3+ B4 Y3 7
SECOND e3+ R1 G1 0
FIRST f3- Y1 R3 7
SECOND c1- R1 R3 0
FIRST b2- Y3 R3 7
SECOND c3- Y4 Y1 0
FIRST c2+ B4 Y3 7
SECOND d6+ Y1 G3 0
FIRST e4- G1 G2 7
SECOND e5+ G2 B2 0
FIRST d3- Y4 R4 7
SECOND d2+ G3 Y2 0
FIRST b3+ R4 R2 7
SECOND b4- G1 B3 0
FIRST a2+ R3 R2 7
SECOND b3- Y1 R2 0
FIRST c2- R3 Y1 7
SECOND b1+ B3 R3 0
FIRST a2- Y3 R4 7
SECOND e6- R3 Y3 0
FIRST e4+ Y1 G4 7
SECOND b4+ R2 G4 0
FIRST d1+ R4 B2 7
SECOND f6- R3 B4 0
FIRST e1- G4 G1 7
SECOND a6- B2 Y4 0
FIRST f2+ G1 Y2 7
SECOND f1+ Y2 Y2 0
FIRST b5- Y2 G3 7
SECOND d5+ Y4 B3 0
FIRST a5+ R2 B1 6
SECOND c4+ Y3 R4 0
FIRST a1+ G3 G2 6
SECOND a6+ B3 Y3 0
FIRST a5- B2 G3 6
SECOND e1+ R4 B1 0
FIRST a3- G3 B3 6
SECOND f1- B4 G2 0
FIRST a3+ B3 B3 6
SECOND e6+ B1 R2 0
FIRST b1- B3 R1 5
SECOND d5- Y2 R4 0
FIRST b5+ G2 R1 5
SECOND e5- R4 B2 0
FIRST c4- G2 Y2 5
SECOND b6- R2 B1 0
FIRST a4+ R2 B1 5
SECOND c5- G2 G4 0
FIRST c5+ Y2 B2 5
SECOND f2- Y3 G1 0
FIRST b6+ B2 X0 5
SECOND c1+ B2 X0 0
FIRST f4- B1 X0 4
SECOND f5+ G1 X0 0
FIRST d4+ R1 X0 3
SECOND f5- B1 X0 0
FIRST f4+ R1 X0 3
SECOND c6- G4 X0 0
FIRST d6- B1 X0 2
SECOND e2- G4 X0 0
FINISH
SCOREFIRST 560
SCORESECOND 86
