[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G3 Y2 B3 B3 Y1 B4 B1 R4 G1 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 R2 1657
SECOND b2+ B4 Y4 0
FIRST e2+ G3 B2 6
SECOND d2- B1 Y3 0
FIRST f2- B3 R1 7
SECOND a3- Y4 G2 0
FIRST d1+ Y1 G2 7
SECOND a3+ G1 R1 0
FIRST c2+ R1 R3 7
SECOND a2+ Y3 G4 0
FIRST a2- R3 R4 7
SECOND a6+ R4 G3 0
FIRST a6- R4 B1 7
SECOND f4+ G4 R3 0
FIRST e1- B1 Y4 7
SECOND d4+ G2 G3 0
FIRST e4- R2 G1 7
SECOND e2- R2 G1 0
FIRST c2- G1 B4 7
SECOND b5+ G1 Y2 0
FIRST d2+ G2 R2 7
SECOND b3+ Y2 B2 0
FIRST f5- Y4 G4 7
SECOND d5- G3 Y2 0
FIRST c3- B2 R1 7
SECOND b4+ B2 R3 0
FIRST b4- R2 G1 7
SECOND b1+ R3 R1 1
FIRST c1+ R1 Y3 6
SECOND e6- R1 G2 0
FIRST c1- G1 Y3 7
SECOND f1+ Y2 Y4 0
FIRST b2- Y3 B2 6
SECOND e4+ R3 B3 0
FIRST e1+ Y2 R3 7
SECOND a4+ G3 Y3 0
FIRST f1- B2 B1 6
SECOND f4- R1 G4 0
FIRST a1+ Y3 Y1 6
SECOND c4+ G2 Y1 0
FIRST b1- R3 G2 6
SECOND d6- Y1 R2 0
FIRST c4- G2 G3 6
SECOND d3+ B3 B4 0
FIRST d6+ B1 G4 6
SECOND e5- Y4 R4 0
FIRST e5+ B4 Y2 5
SECOND a5+ B4 B1 0
FIRST b5- Y2 R4 5
SECOND b6+ R4 B2 0
FIRST b6- G4 B4 5
SECOND d3- Y3 B3 0
FIRST c6- G4 Y4 5
SECOND f6- R2 Y1 0
FIRST a5- R4 X0 4
SECOND f5+ B2 X0 0
FIRST c5+ B4 X0 4
SECOND e3+ Y1 X0 0
FIRST c5- Y4 X0 3
SECOND f2+ B1 X0 0
FIRST f3- Y1 X0 3
SECOND d5+ B3 X0 0
FIRST b3- G3 X0 2
SECOND e6+ G4 X0 0
FINISH
SCOREFIRST 320
SCORESECOND 94
