[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G2 R2 R4 Y1 R1 B4 Y4 R1 B3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 B1 1841
SECOND b1+ Y4 G1 0
FIRST d3+ R1 G1 7
SECOND a1+ B3 B2 0
FIRST b1- R4 R3 7
SECOND c1- B4 Y2 0
FIRST e3+ B1 Y2 7
SECOND c6- G1 Y2 0
FIRST f3- G1 G4 8
SECOND e2- Y2 Y3 0
FIRST e2+ G2 G1 10
SECOND e5- Y3 G3 0
FIRST b2- G4 B1 8
SECOND e6- B3 R4 0
FIRST e5+ R3 R4 7
SECOND e4- Y2 G1 0
FIRST f2+ G1 R1 7
SECOND c5- R1 R3 0
FIRST d3- B1 B3 8
SECOND a2+ R3 R4 0
FIRST d2+ R1 G3 7
SECOND a2- R4 G2 0
FIRST c1+ R4 Y3 8
SECOND c4- G1 R2 0
FIRST a3- B3 B4 7
SECOND b5+ R2 B2 0
FIRST b2+ B4 R2 8
SECOND b6- B2 B1 0
FIRST a3+ G3 R3 7
SECOND b4- G2 Y3 0
FIRST b3- Y3 B4 7
SECOND f6- R4 B4 0
FIRST c2- B4 G3 7
SECOND d4+ B4 Y1 0
FIRST b3+ R3 Y4 6
SECOND a4+ G3 G2 0
FIRST c2+ Y4 G2 6
SECOND f4+ G2 G4 0
FIRST c3- G3 B2 6
SECOND c5+ Y3 G3 0
FIRST b4+ Y2 B2 6
SECOND c4+ B1 G4 0
FIRST b5- B2 Y3 6
SECOND a5+ G4 R1 0
FIRST b6+ R2 Y4 6
SECOND d2- G3 R3 0
FIRST a6+ R2 B3 5
SECOND e1+ R1 B1 0
FIRST a6- B2 G4 5
SECOND d5+ G4 Y4 0
FIRST d5- Y4 Y2 5
SECOND f5+ B2 R2 0
FIRST f5- G2 Y1 5
SECOND e4+ Y1 Y1 0
FIRST f2- Y1 X0 4
SECOND e1- R2 X0 0
FIRST a5- B3 X0 3
SECOND f4- Y4 X0 0
FIRST d6+ Y3 X0 3
SECOND f1- R3 X0 0
FIRST d1+ Y2 X0 3
SECOND d6- Y1 X0 0
FIRST e6+ G4 X0 2
SECOND f1+ B1 X0 0
FINISH
SCOREFIRST 316
SCORESECOND 98
