[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 Y2 R1 B1 R2 G4 Y1 Y3 Y3 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 B4 2195
SECOND a2- G2 Y2 0
FIRST a1+ Y2 B2 7
SECOND c5+ G4 R2 0
FIRST c5- B4 G1 7
SECOND b2+ Y3 Y2 0
FIRST b1- R2 Y3 7
SECOND f1- R2 B2 0
FIRST f1+ B2 R4 8
SECOND c1+ B2 B4 0
FIRST a2+ B2 Y1 9
SECOND a5- Y1 B3 0
FIRST e2+ R1 Y4 8
SECOND a6- Y2 G1 0
FIRST e2- G1 R3 8
SECOND c3- Y3 B1 0
FIRST c6- R4 B3 7
SECOND a3- B1 R3 0
FIRST a3+ Y1 R2 7
SECOND c4- B3 Y1 0
FIRST b6+ Y4 Y4 6
SECOND f2- Y1 R4 0
FIRST b2- R2 Y3 7
SECOND f5- G1 B4 0
FIRST b5+ Y4 G2 7
SECOND d6- B4 B3 0
FIRST b1+ G2 B1 7
SECOND e1+ B3 R4 0
FIRST d2+ B1 G4 7
SECOND c1- R4 R2 0
FIRST b6- G4 G4 7
SECOND d2- B4 B2 0
FIRST b5- G4 R4 6
SECOND e6- Y2 G2 0
FIRST a5+ R4 Y1 6
SECOND f4- B2 G3 0
FIRST d3- Y1 G2 6
SECOND f2+ R4 G1 0
FIRST b3+ R3 R1 7
SECOND a4+ R2 B1 0
FIRST d3+ R1 G3 6
SECOND d5- G1 R3 0
FIRST b3- B3 G1 6
SECOND e3+ B1 G3 0
FIRST e4- G1 R3 6
SECOND c2- G2 Y4 0
FIRST b4- Y3 B4 6
SECOND e1- G3 R1 0
FIRST b4+ G3 B3 5
SECOND c4+ R3 R1 0
FIRST c2+ R3 Y2 5
SECOND d1+ R1 Y4 0
FIRST a6+ B4 G3 5
SECOND f6- Y4 G4 0
FIRST e6+ G2 X0 5
SECOND f3- R1 X0 0
FIRST d6+ Y2 X0 4
SECOND f5+ Y4 X0 0
FIRST d5+ Y3 X0 3
SECOND f4+ G3 X0 0
FIRST e5- G3 X0 3
SECOND e4+ R3 X0 0
FIRST e5+ B3 X0 2
SECOND d4+ G4 X0 0
FINISH
SCOREFIRST 356
SCORESECOND 92
