[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 R2 G2 B4 B2 G3 G4 R3 B4 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 R3 2291
SECOND a2- G3 B2 0
FIRST e2+ B4 Y3 7
SECOND b1- B4 R3 0
FIRST a2+ Y3 Y4 6
SECOND b5- G4 Y3 0
FIRST b2- R3 G4 9
SECOND e1- Y3 Y1 1
FIRST d3+ Y4 B3 7
SECOND d4+ Y1 R4 0
FIRST f2- G4 R1 8
SECOND f4- R4 B2 1
FIRST a3- B3 B3 8
SECOND e4- B2 G1 1
FIRST b2+ B3 G1 7
SECOND d5+ R3 G3 0
FIRST e3+ R2 G4 7
SECOND e6- B4 B1 0
FIRST e4+ G2 R3 7
SECOND a3+ R3 B3 0
FIRST b3- R3 R2 7
SECOND e5- B3 R2 0
FIRST d3- G4 R1 7
SECOND a5+ B2 R2 0
FIRST a5- R2 B1 7
SECOND c5+ G3 R1 0
FIRST f3- B2 Y4 7
SECOND e5+ R2 Y2 0
FIRST d2+ Y4 B1 7
SECOND b6- Y2 B3 0
FIRST d5- R1 Y2 7
SECOND f6- R1 B1 0
FIRST f2+ Y2 B2 7
SECOND f1+ B1 Y2 0
FIRST e6+ G1 G3 6
SECOND c4- B1 G1 0
FIRST b1+ G3 Y1 6
SECOND e1+ B3 R4 0
FIRST b6+ B2 R4 6
SECOND c2- Y2 R1 0
FIRST e2- R4 Y3 6
SECOND b4- G1 Y4 0
FIRST a1+ Y3 Y1 7
SECOND d6- Y4 Y3 0
FIRST b4+ R1 G1 6
SECOND c5- Y3 G2 0
FIRST b3+ G1 Y2 5
SECOND f4+ R4 Y4 0
FIRST a6- Y2 G2 5
SECOND c4+ R1 Y1 0
FIRST a6+ G2 R4 5
SECOND f5+ Y1 G4 0
FIRST d2- R4 G3 5
SECOND c1- G1 G2 0
FIRST a4+ B1 X0 5
SECOND f1- G2 X0 0
FIRST c3- B1 X0 4
SECOND f5- G4 X0 0
FIRST c2+ Y1 X0 3
SECOND d6+ Y4 X0 0
FIRST d1+ G3 X0 3
SECOND c6- R2 X0 0
FIRST c1+ Y1 X0 2
SECOND b5+ G2 X0 0
FINISH
SCOREFIRST 356
SCORESECOND 86
