[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y3 G2 R1 R4 B1 R1 B3 G4 Y1 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 B2 3491
SECOND f5+ B3 R2 1
FIRST f6- Y3 B4 14
SECOND b2+ B2 Y4 1
FIRST b2- B2 R2 15
SECOND f2- Y4 Y3 1
FIRST e2+ B4 R1 17
SECOND e1- Y3 G3 0
FIRST a2+ G2 Y2 14
SECOND d6+ G3 G1 0
FIRST c2- R2 Y1 14
SECOND f4+ G4 G2 0
FIRST a3- Y2 Y3 25
SECOND d3+ G1 R3 1
FIRST d6- Y3 B3 16
SECOND f4- Y1 R4 2
FIRST d3- R1 G3 15
SECOND e1+ R1 R2 0
FIRST e6+ B3 Y4 17
SECOND c1- R4 G3 1
FIRST e6- G3 G4 16
SECOND f3- R2 R4 0
FIRST f1+ Y4 B2 14
SECOND e2- R4 Y4 0
FIRST f2+ G4 G2 17
SECOND f1- Y4 B3 1
FIRST a3+ G2 G1 14
SECOND a2- B3 R1 1
FIRST b3- B2 R2 15
SECOND d5- G2 B1 0
FIRST b3+ R2 R3 17
SECOND c6- R3 Y3 1
FIRST d5+ R3 G3 14
SECOND b6+ R1 R3 0
FIRST e5- G3 Y1 15
SECOND c5- Y3 B4 0
FIRST e4+ G1 Y4 14
SECOND a5+ B1 G4 0
FIRST d2+ Y4 G1 13
SECOND c1+ R2 Y2 0
FIRST a5- R1 B4 13
SECOND f5- R3 B1 0
FIRST d2- B4 G4 14
SECOND b4+ G3 G1 1
FIRST c2+ G4 B1 15
SECOND b6- Y2 B4 2
FIRST e4- Y1 Y2 14
SECOND c4+ B1 Y2 1
FIRST b1+ Y2 B3 13
SECOND d4+ Y2 B2 1
FIRST e5+ B3 R4 11
SECOND a4+ B4 G2 0
FIRST d1+ R4 R3 10
SECOND e3+ G1 Y1 1
FIRST c5+ R3 X0 10
SECOND b1- G4 X0 1
FIRST c4- G1 X0 9
SECOND a6+ Y1 X0 1
FIRST a6- B1 X0 13
SECOND c3- G2 X0 0
FIRST b5- B1 X0 8
SECOND b5+ B4 X0 0
FIRST a1+ Y1 X0 6
SECOND b4- B2 X0 1
FINISH
SCOREFIRST 440
SCORESECOND 116
