[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y3 R1 Y3 Y1 G4 G3 Y3 B3 G1 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 R4 1947
SECOND a5+ Y2 Y4 0
FIRST e3+ R1 B1 7
SECOND f4+ G1 R1 0
FIRST f4- B1 B2 7
SECOND b1- B3 B4 0
FIRST b5- B2 G2 6
SECOND e2+ Y4 R4 0
FIRST a1+ Y3 G1 7
SECOND c2+ Y3 R1 0
FIRST a5- G2 G1 7
SECOND b4+ R1 Y4 0
FIRST e4+ G1 G3 7
SECOND f6- Y4 R3 0
FIRST e4- G1 R2 7
SECOND b5+ R4 G1 0
FIRST c5- G4 B3 8
SECOND c3- B4 B2 0
FIRST c2- G3 Y2 7
SECOND e5- R3 B1 0
FIRST b3+ R4 Y2 7
SECOND a2- G1 Y2 0
FIRST d5+ Y3 Y4 7
SECOND a3+ Y2 Y3 0
FIRST a4+ R2 B4 7
SECOND b6- B2 G2 0
FIRST e5+ B3 Y4 6
SECOND a3- Y3 G2 0
FIRST b4- Y2 B4 7
SECOND e1- B1 G4 0
FIRST a6- Y2 R2 6
SECOND d3- R1 G4 0
FIRST a6+ R2 R3 7
SECOND b6+ G4 R2 0
FIRST c5+ Y4 B3 7
SECOND e1+ G2 G3 0
FIRST c6- B4 B2 7
SECOND e6+ G4 B1 0
FIRST c4+ B4 R1 6
SECOND d2+ R2 B2 0
FIRST d3+ R1 B1 7
SECOND c4- G3 Y1 0
FIRST d4+ B1 R4 6
SECOND c1- Y1 Y1 0
FIRST d5- R4 R3 6
SECOND f1+ Y1 R2 0
FIRST e2- B2 G2 5
SECOND f3- B1 B4 0
FIRST f5- B3 G4 5
SECOND d6- G2 B3 0
FIRST f1- G2 G3 5
SECOND d2- B2 R4 0
FIRST e6- R3 Y1 4
SECOND d6+ R4 R3 0
FIRST f2+ Y1 X0 4
SECOND a2+ B3 X0 0
FIRST f5+ R3 X0 5
SECOND b1+ R2 X0 0
FIRST b3- Y4 X0 3
SECOND c1+ B4 X0 0
FIRST b2+ G4 X0 3
SECOND b2- R3 X0 0
FIRST d1+ G3 X0 2
SECOND f2- G3 X0 0
FINISH
SCOREFIRST 346
SCORESECOND 92
