[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R4 G3 R1 Y3 B4 G3 G4 B4 R4 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 R2 1583
SECOND c1- Y3 G1 1
FIRST b1+ G3 G2 7
SECOND e5+ R4 G2 0
FIRST e6- B4 B1 6
SECOND b5- B4 G4 0
FIRST b4+ R4 Y4 7
SECOND f1- G3 B4 0
FIRST b4- Y4 Y3 7
SECOND d5- G4 Y1 0
FIRST e2+ Y3 R1 7
SECOND d5+ G4 B1 0
FIRST c6- R2 R3 10
SECOND c2- Y1 Y2 0
FIRST b2+ R1 B4 7
SECOND b6+ Y2 R2 0
FIRST e5- B4 R4 7
SECOND f5+ G2 G2 0
FIRST d4+ R4 B2 7
SECOND a2+ B4 G3 0
FIRST c5+ G2 Y1 7
SECOND f3- G1 G1 0
FIRST f6- B2 G1 7
SECOND c3- R2 R1 0
FIRST b2- Y1 G4 7
SECOND a3- G3 Y4 0
FIRST d6+ G4 Y2 7
SECOND a5+ G1 R1 0
FIRST b3- B1 G1 7
SECOND f4- B1 Y2 0
FIRST a3+ R1 Y4 6
SECOND e1+ R1 B2 0
FIRST d6- Y4 B3 6
SECOND e4+ B2 B3 0
FIRST b3+ G1 R2 6
SECOND c2+ G2 R2 0
FIRST c1+ G1 G3 6
SECOND f4+ B3 Y4 0
FIRST e6+ R2 Y1 6
SECOND d3- Y4 R4 0
FIRST c5- Y2 Y2 6
SECOND e4- R1 B3 0
FIRST e3+ Y1 R3 6
SECOND f2+ R2 Y3 0
FIRST b5+ Y2 B1 5
SECOND e1- Y4 B1 0
FIRST f2- B3 G4 5
SECOND a6+ B3 B2 0
FIRST f1+ R3 B3 5
SECOND b1- Y2 Y1 0
FIRST f5- G4 G2 5
SECOND d1+ Y1 R3 0
FIRST b6- G2 B2 5
SECOND a1+ B2 R3 0
FIRST d3+ B3 X0 4
SECOND e2- R4 X0 0
FIRST c4+ B2 X0 4
SECOND a5- R3 X0 0
FIRST a4+ G3 X0 3
SECOND a2- B1 X0 0
FIRST d2- B1 X0 3
SECOND d2+ R3 X0 0
FIRST a6- R3 X0 2
SECOND c4- Y3 X0 0
FINISH
SCOREFIRST 280
SCORESECOND 108
