[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 Y2 B4 G4 Y3 B2 B3 Y3 G4 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 R4 1718
SECOND f5+ G4 R4 1
FIRST f6- R4 Y4 7
SECOND a3- B3 B1 0
FIRST e2+ B4 B2 6
SECOND c5- B1 Y2 0
FIRST a3+ Y3 R3 7
SECOND e1- Y3 G2 0
FIRST e2- Y4 R1 7
SECOND c3- B2 R1 0
FIRST b3+ Y2 G1 7
SECOND a4+ R1 Y1 0
FIRST c5+ G1 R3 7
SECOND d2- G2 G4 0
FIRST c2+ B2 Y3 7
SECOND f4- Y2 G1 0
FIRST b5+ R1 Y4 7
SECOND d3+ G4 G1 0
FIRST d1+ B2 R4 7
SECOND e3+ Y1 R2 0
FIRST a2+ R3 G4 7
SECOND b4+ G1 B1 0
FIRST b2- R3 B3 7
SECOND f2+ R4 Y4 0
FIRST f2- Y4 B1 7
SECOND d5- B1 Y2 0
FIRST b5- B1 Y1 7
SECOND c2- Y1 R3 0
FIRST b4- Y1 R1 7
SECOND e4- Y4 G2 0
FIRST f1+ G4 G2 7
SECOND a6+ Y2 B2 0
FIRST a5+ R1 G2 7
SECOND c6- R3 Y3 0
FIRST d2+ R4 B3 6
SECOND b2+ G2 B4 0
FIRST b3- G2 B1 6
SECOND d3- G1 Y4 0
FIRST a5- B1 R2 6
SECOND f3- Y3 R1 0
FIRST a2- Y3 R2 7
SECOND d5+ B4 G3 0
FIRST a1+ B3 G3 6
SECOND d6- Y4 G3 0
FIRST b1+ B3 Y2 6
SECOND c4- G3 R2 0
FIRST b1- G3 Y1 6
SECOND d4+ R2 B4 0
FIRST c4+ Y1 G3 5
SECOND c1+ G3 R4 0
FIRST c1- G3 B4 6
SECOND e5+ R4 B3 0
FIRST e1+ B4 G1 5
SECOND f1- B2 R3 0
FIRST a6- G1 X0 5
SECOND e5- R2 X0 0
FIRST e4+ G2 X0 4
SECOND f4+ B4 X0 0
FIRST b6- R2 X0 3
SECOND e6+ B3 X0 0
FIRST b6+ Y2 X0 3
SECOND f5- R1 X0 0
FIRST d6+ R2 X0 3
SECOND e6- R3 X0 0
FINISH
SCOREFIRST 418
SCORESECOND 114
