[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y3 G1 B1 B1 G3 B2 Y4 R1 Y3 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 Y1 3516
SECOND c6- Y4 B4 1
FIRST e3+ B1 R1 13
SECOND e1- B4 R4 1
FIRST d3+ Y1 R1 15
SECOND a5- R4 G3 1
FIRST e4- G1 Y4 16
SECOND e5+ B2 R1 0
FIRST e4+ R1 R4 15
SECOND f6- R1 B1 0
FIRST f3- R1 R2 14
SECOND f2+ B1 G2 0
FIRST b6+ R4 B3 14
SECOND d3- G2 R2 0
FIRST e1+ Y4 Y1 19
SECOND b1- G3 Y1 1
FIRST d4+ Y1 Y4 19
SECOND d5+ B1 R3 1
FIRST d1+ Y4 G4 15
SECOND b5+ Y3 G1 0
FIRST b5- B3 B2 15
SECOND c4- R2 G3 1
FIRST b4+ G3 R2 17
SECOND c1- R1 R4 1
FIRST b6- Y3 G1 16
SECOND e2- R3 G2 0
FIRST d5- G1 Y2 17
SECOND b1+ G1 B4 2
FIRST a5+ G4 B4 14
SECOND b2+ G3 B3 1
FIRST d2- B4 Y2 16
SECOND b4- Y1 Y3 1
FIRST d2+ R2 G2 15
SECOND a6+ Y3 Y1 1
FIRST e5- Y2 B3 15
SECOND d6- R4 Y2 0
FIRST a6- B3 B4 14
SECOND e2+ B3 Y4 0
FIRST f1- B4 G4 13
SECOND f1+ B4 Y2 0
FIRST c2+ G4 Y3 14
SECOND f2- Y2 G1 1
FIRST e6- Y2 G2 13
SECOND b3- Y4 G4 0
FIRST b2- Y3 R4 12
SECOND a2- Y2 R3 1
FIRST c2- R4 R3 13
SECOND a4+ G1 G4 0
FIRST c5- R3 G3 14
SECOND d6+ G4 B3 1
FIRST c4+ G3 R3 11
SECOND c5+ B3 R2 1
FIRST e6+ G2 B2 10
SECOND a3- R3 B2 1
FIRST a2+ R3 X0 10
SECOND a3+ G4 X0 0
FIRST f5- R2 X0 9
SECOND c3- G2 X0 0
FIRST f4+ B2 X0 8
SECOND b3+ R2 X0 1
FIRST f5+ B2 X0 7
SECOND f4- B2 X0 1
FIRST a1+ G2 X0 8
SECOND c1+ Y1 X0 1
FINISH
SCOREFIRST 374
SCORESECOND 92
