[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R3 R4 Y2 G1 G4 B1 Y1 G3 Y3 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 Y4 1680
SECOND a2+ Y1 B3 0
FIRST f2+ Y2 Y1 6
SECOND e5+ G3 R1 0
FIRST a2- Y1 G4 6
SECOND b4- Y3 B2 0
FIRST b4+ R3 Y2 6
SECOND b3+ B1 Y4 0
FIRST f3- Y2 Y4 6
SECOND a4+ Y3 R3 0
FIRST a3+ G4 Y1 7
SECOND d6+ R1 G2 0
FIRST a3- Y4 G3 7
SECOND d5+ R3 G4 0
FIRST e5- G3 R3 7
SECOND f6- G2 B3 0
FIRST b5- R3 R2 7
SECOND d3+ B2 R3 0
FIRST b3- R4 B1 8
SECOND d2+ G4 Y4 0
FIRST d6- B1 R4 11
SECOND f5- B3 B1 0
FIRST e6- Y1 G3 10
SECOND b2+ R3 R1 0
FIRST a5- G3 B4 9
SECOND d2- Y4 R4 0
FIRST d1+ G4 Y3 8
SECOND c4+ B3 Y2 0
FIRST c4- Y3 B2 8
SECOND c5+ Y2 G3 0
FIRST c6- R2 B3 9
SECOND d5- G3 B4 0
FIRST a5+ B3 G2 8
SECOND e1- B4 G4 0
FIRST d3- Y4 B2 8
SECOND e4+ B1 B4 0
FIRST c2+ R4 R2 8
SECOND f1- G4 Y1 0
FIRST e1+ B4 B3 7
SECOND b6- Y1 R4 0
FIRST b5+ B3 R1 9
SECOND e4- R4 Y2 0
FIRST c5- R2 G2 7
SECOND c2- R1 G1 0
FIRST b6+ B2 B4 7
SECOND f2- G1 B2 0
FIRST f1+ B4 R1 6
SECOND e3+ R4 G1 0
FIRST e2+ R1 G1 6
SECOND c3- B2 G2 0
FIRST e6+ B2 Y3 6
SECOND a6+ G2 R2 0
FIRST a6- Y3 B1 6
SECOND b2- R2 R2 0
FIRST a1+ R1 X0 5
SECOND b1+ G1 X0 0
FIRST b1- G1 X0 4
SECOND f5+ Y4 X0 0
FIRST c1- B1 X0 4
SECOND f4+ B4 X0 0
FIRST e2- G2 X0 4
SECOND d4+ R2 X0 0
FIRST c1+ G2 X0 4
SECOND f4- Y2 X0 0
FINISH
SCOREFIRST 312
SCORESECOND 114
