[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B3 B2 Y3 Y1 G1 Y4 G3 R3 R1 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 Y2 2501
SECOND e1- G3 B2 1
FIRST d3+ G1 R3 13
SECOND e1+ Y4 B3 1
FIRST d1+ B3 Y4 21
SECOND e3+ R1 R1 1
FIRST f1- Y4 G1 17
SECOND f5- R1 B2 0
FIRST d2- Y3 B4 19
SECOND e2- R3 Y1 2
FIRST d2+ R3 B2 17
SECOND f1+ B2 R2 1
FIRST f2- Y2 R4 18
SECOND b3- B3 Y3 0
FIRST e2+ B2 R2 15
SECOND a6+ B2 B1 0
FIRST f2+ B2 G4 15
SECOND a4+ Y3 B4 0
FIRST e5+ G1 R4 15
SECOND c1+ B4 G1 0
FIRST c1- R4 G3 14
SECOND b6- B3 R2 0
FIRST c2+ G3 G2 14
SECOND a3+ B1 G4 0
FIRST f3- G2 B1 15
SECOND b3+ Y1 G3 0
FIRST c2- G4 R3 14
SECOND b5+ R2 Y2 0
FIRST c3- R3 R2 14
SECOND f5+ G3 R3 0
FIRST f4+ B1 Y2 14
SECOND d3- G1 G1 0
FIRST b1+ B4 G3 14
SECOND d4+ G1 R4 0
FIRST b1- R4 B3 14
SECOND a5+ Y2 B4 1
FIRST b5- Y2 R1 14
SECOND f4- G4 Y4 1
FIRST e4- R1 Y4 13
SECOND b2- B4 Y1 0
FIRST a6- R2 G2 14
SECOND d6- Y4 G4 1
FIRST b2+ Y4 Y3 14
SECOND d5+ R3 B1 0
FIRST a5- G2 B4 13
SECOND b4- R4 G2 0
FIRST a1+ B4 B1 12
SECOND e6+ G4 Y3 0
FIRST d5- B1 G4 19
SECOND c4- B1 Y2 1
FIRST a2- G4 R1 17
SECOND a3- R2 R4 2
FIRST c5+ R1 Y1 17
SECOND c4+ Y1 G2 0
FIRST c5- Y1 X0 10
SECOND d6+ Y3 X0 0
FIRST b4+ R2 X0 9
SECOND c6- Y2 X0 1
FIRST b6+ G3 X0 10
SECOND e4+ G2 X0 0
FIRST f6- B3 X0 8
SECOND e5- G2 X0 0
FIRST e6- Y3 X0 7
SECOND a2+ R4 X0 0
FINISH
SCOREFIRST 384
SCORESECOND 106
