[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y2 Y3 B1 Y3 Y4 Y2 R1 Y3 Y3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 B3 3628
SECOND a5+ Y3 Y4 1
FIRST b5- B3 G3 13
SECOND f2- Y4 G4 1
FIRST b4+ Y3 B1 15
SECOND c3- Y2 G1 0
FIRST a5- G3 G4 14
SECOND f6- Y3 G2 0
FIRST f2+ Y4 G4 14
SECOND b1+ G4 B4 1
FIRST b2- G4 G2 14
SECOND d2- R1 G3 1
FIRST f1+ G4 R2 13
SECOND c4- G2 B2 1
FIRST b3+ R2 G1 15
SECOND f4+ B2 Y1 0
FIRST d2+ B1 R3 15
SECOND c1- Y1 R2 1
FIRST e2- G1 R2 15
SECOND d6- G3 G3 1
FIRST a4+ R3 B2 17
SECOND f1- G1 R1 1
FIRST e1+ B1 Y2 17
SECOND b5+ G3 R4 1
FIRST b4- G2 G2 17
SECOND c6- R1 B3 1
FIRST f4- R2 B2 15
SECOND b6+ B4 R3 0
FIRST c2+ Y2 R1 16
SECOND b1- B3 B2 1
FIRST c2- G2 B4 15
SECOND e6- R3 Y1 0
FIRST c1+ B2 G1 14
SECOND a1+ B2 B4 0
FIRST e1- G1 R3 14
SECOND a3- B4 G4 0
FIRST a2+ B4 B3 14
SECOND e4- Y1 B1 1
FIRST b2+ Y2 R4 13
SECOND d3- R2 R3 0
FIRST b3- B2 Y1 13
SECOND d4+ B3 Y2 0
FIRST d1+ R1 Y1 13
SECOND c5- B1 G2 0
FIRST a6- R3 Y4 13
SECOND e5- G4 R2 0
FIRST a6+ B3 B4 12
SECOND b6- G2 B1 0
FIRST c5+ Y1 R4 14
SECOND a2- R3 R4 0
FIRST a3+ R4 R1 12
SECOND d5- B1 Y4 2
FIRST e2+ R1 G3 10
SECOND e6+ Y4 G1 0
FIRST d6+ G3 X0 10
SECOND d5+ G1 X0 0
FIRST c4+ Y1 X0 9
SECOND e5+ Y2 X0 0
FIRST f3- R4 X0 8
SECOND e3+ R4 X0 0
FIRST e4+ Y4 X0 7
SECOND d3+ R2 X0 1
FIRST f5- B4 X0 9
SECOND f5+ R4 X0 2
FINISH
SCOREFIRST 316
SCORESECOND 104
