[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R4 G4 B4 R3 G2 R2 Y4 Y3 G4 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 G1 3712
SECOND b6- G1 G2 1
FIRST b6+ G1 R1 19
SECOND e4+ R2 G1 2
FIRST c6- R1 B1 23
SECOND d6+ G1 Y2 2
FIRST d6- B1 Y3 27
SECOND e1- G2 B2 1
FIRST e5- G2 B1 38
SECOND f2+ B2 R3 1
FIRST d3+ Y3 G3 18
SECOND d2+ G4 B1 1
FIRST a6+ B1 R2 18
SECOND b3- Y4 Y4 0
FIRST a3+ G4 B4 14
SECOND f4+ Y3 B1 0
FIRST b3+ B4 G4 16
SECOND f1+ Y2 B3 0
FIRST f2- R2 Y1 15
SECOND e2+ B3 R1 1
FIRST a3- B4 Y3 15
SECOND b1+ R3 R3 0
FIRST a2+ R4 G1 14
SECOND c5- R3 R1 0
FIRST a2- G4 B3 14
SECOND d1+ B1 G4 1
FIRST a6- Y1 R1 14
SECOND b5+ B1 B2 0
FIRST a5+ G1 B2 14
SECOND f4- G4 Y3 1
FIRST b5- R1 Y4 14
SECOND c1- Y3 R2 0
FIRST a1+ Y4 Y4 14
SECOND d3- B2 G3 0
FIRST b2- Y4 Y2 13
SECOND c2+ G3 Y2 1
FIRST b1- B3 R4 13
SECOND e5+ R2 B3 1
FIRST b2+ R4 B3 14
SECOND d4+ R1 G3 0
FIRST c1+ G3 G3 13
SECOND e3+ G3 Y1 1
FIRST c2- B3 R3 12
SECOND b4+ Y4 Y1 0
FIRST d2- Y3 Y2 12
SECOND a5- B3 B4 0
FIRST c3- R3 R2 12
SECOND c4+ B4 R4 1
FIRST d5+ B2 Y1 11
SECOND f5- R4 R4 1
FIRST c5+ Y1 G2 10
SECOND c4- Y2 G2 1
FIRST e4- Y2 B2 11
SECOND d5- R4 B4 0
FIRST f3- R2 X0 22
SECOND e6- Y1 X0 1
FIRST f1- B2 X0 22
SECOND b4- B4 X0 2
FIRST e1+ G2 X0 11
SECOND e2- R1 X0 1
FIRST a4+ G3 X0 13
SECOND f6- G2 X0 0
FIRST f5+ Y2 X0 8
SECOND e6+ Y1 X0 1
FINISH
SCOREFIRST 392
SCORESECOND 80
