[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G1 Y2 R4 B3 G3 R3 B3 G3 B1 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 R1 3633
SECOND c5+ B3 G4 1
FIRST c5- G3 Y4 13
SECOND f1+ B1 B2 1
FIRST f1- R1 R2 15
SECOND b5+ B2 Y3 0
FIRST b5- R2 R3 16
SECOND b4+ G4 G1 1
FIRST c4- R4 Y1 15
SECOND e1+ R3 G3 1
FIRST d3+ R3 Y3 16
SECOND e2+ G1 G4 0
FIRST f2- Y1 B2 14
SECOND e6+ G3 Y4 0
FIRST f2+ G1 B1 14
SECOND a5+ Y3 Y2 0
FIRST e2- B1 B1 16
SECOND d2+ B2 R1 1
FIRST f3- B1 G3 15
SECOND d3- G3 Y2 0
FIRST e6- Y3 G4 18
SECOND b3- Y4 Y4 0
FIRST e3+ G3 R3 15
SECOND c2- Y2 R2 1
FIRST e4- R3 B2 15
SECOND c4+ Y4 R2 1
FIRST b4- Y4 G2 18
SECOND a6+ Y2 B3 0
FIRST b3+ G4 B3 14
SECOND f6- R1 G2 2
FIRST b6- Y2 R4 14
SECOND a3- B3 B4 1
FIRST b6+ B2 G4 15
SECOND d6+ B4 R4 1
FIRST c6- G2 Y2 14
SECOND a1+ G4 Y1 0
FIRST a6- B2 B4 14
SECOND d6- R2 R3 1
FIRST a3+ R4 Y1 13
SECOND d1+ R4 G1 1
FIRST a4+ G4 R2 11
SECOND b2+ R2 Y1 0
FIRST a5- B4 Y4 8
SECOND e5+ G2 Y3 0
FIRST c3- Y4 G1 11
SECOND b2- G1 G2 1
FIRST d4+ B3 Y3 9
SECOND c2+ Y1 R1 1
FIRST d5- Y3 R1 11
SECOND e5- Y3 B1 0
FIRST f5- R2 G2 11
SECOND c1- G2 R4 1
FIRST c1+ Y2 B4 13
SECOND d5+ Y1 B4 1
FIRST e1- B4 X0 13
SECOND f5+ R4 X0 0
FIRST a2+ Y1 X0 10
SECOND e4+ R1 X0 0
FIRST a2- R1 X0 12
SECOND d2- R3 X0 1
FIRST b1+ G1 X0 9
SECOND f4- B4 X0 0
FIRST f4+ G2 X0 4
SECOND b1- B1 X0 0
FINISH
SCOREFIRST 352
SCORESECOND 104
