[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 Y2 Y3 Y1 R4 G3 G1 B1 R1 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 Y4 1924
SECOND b5+ R1 B2 0
FIRST f2+ Y3 G4 7
SECOND c4- G1 Y2 0
FIRST b4+ Y2 B4 8
SECOND b6- Y2 G4 0
FIRST a6+ B2 G4 7
SECOND c6- G1 Y3 0
FIRST a3+ Y4 R2 7
SECOND d5- G4 B1 0
FIRST b5- R2 B1 7
SECOND e1+ G3 Y1 0
FIRST d5+ G4 B1 7
SECOND c2- Y1 Y2 0
FIRST c5+ B1 Y4 7
SECOND b2+ B1 R2 0
FIRST c5- B1 G3 8
SECOND a1+ Y2 G3 1
FIRST e1- G3 Y3 7
SECOND b3- Y3 Y3 0
FIRST d4+ Y4 R4 8
SECOND e3+ Y3 G2 0
FIRST d6- R4 R3 7
SECOND a2+ B2 Y1 0
FIRST d6+ B4 R1 7
SECOND e4- B1 Y4 0
FIRST c4+ R1 B2 8
SECOND a6- Y1 R4 0
FIRST e6- G4 G1 7
SECOND a3- Y4 G4 0
FIRST e5- R4 G2 7
SECOND d2+ R4 R1 0
FIRST a2- G2 B3 7
SECOND f6- G3 B4 0
FIRST f3- B3 G2 7
SECOND e5+ G4 R3 0
FIRST b6+ G1 B4 7
SECOND f5+ R2 B2 0
FIRST e6+ B4 R2 7
SECOND e2- R1 R3 0
FIRST b2- G2 G1 6
SECOND d3+ B2 Y4 0
FIRST e2+ G1 G3 6
SECOND f1+ B4 R2 0
FIRST b1- B2 B3 6
SECOND f5- R2 G2 0
FIRST b1+ R2 R3 6
SECOND d3- G2 R4 0
FIRST b3+ R3 Y2 5
SECOND d2- G2 B4 0
FIRST c1- Y2 R1 5
SECOND f4- R3 B3 0
FIRST f4+ B3 Y1 6
SECOND d1+ Y4 B3 0
FIRST f2- R3 X0 5
SECOND e4+ R4 X0 0
FIRST c1+ R1 X0 4
SECOND c3- R3 X0 0
FIRST c2+ Y3 X0 3
SECOND b4- B3 X0 0
FIRST a4+ G3 X0 3
SECOND a5+ B4 X0 0
FIRST f1- Y1 X0 3
SECOND a5- B3 X0 0
FINISH
SCOREFIRST 318
SCORESECOND 100
