[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 R4 G2 B1 B3 B3 G3 B1 R1 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 G3 1802
SECOND c5- B1 G1 1
FIRST f2+ G2 R1 7
SECOND b2- R1 Y3 0
FIRST c5+ R1 B3 8
SECOND d5- G3 Y3 1
FIRST d5+ B3 B1 6
SECOND a1+ B3 R3 0
FIRST a2+ B1 G3 8
SECOND a6+ Y2 B4 1
FIRST d6- G3 G2 9
SECOND e1- G1 B1 0
FIRST d6+ G3 Y1 8
SECOND b5- Y3 G2 0
FIRST d4+ B3 R2 7
SECOND f4- Y3 B2 0
FIRST f3- G2 Y2 7
SECOND d2- G2 R2 0
FIRST b5+ Y1 B2 7
SECOND e4- B4 B4 0
FIRST e3+ R2 G4 7
SECOND e6+ B4 Y4 0
FIRST f6- G4 B2 7
SECOND d3- B2 Y1 0
FIRST d2+ Y2 R2 7
SECOND a2- Y4 R2 0
FIRST e2- B2 G1 7
SECOND c1+ R2 G4 0
FIRST c2+ B2 Y1 7
SECOND b3+ R2 G4 0
FIRST c2- R2 R3 7
SECOND e5+ Y1 R1 0
FIRST c6- G1 B4 6
SECOND e5- R3 Y2 0
FIRST e4+ R3 R1 7
SECOND e6- Y2 Y4 0
FIRST b6+ Y1 G4 6
SECOND f2- G4 Y1 0
FIRST b6- R1 R4 7
SECOND c4- G4 R4 0
FIRST f5+ B4 Y2 6
SECOND c1- Y4 G2 0
FIRST c3- Y2 Y4 7
SECOND f1- R1 R4 1
FIRST e2+ R4 Y3 8
SECOND a5+ B1 B2 0
FIRST f4+ Y3 Y4 7
SECOND a3- R4 R3 0
FIRST f5- G4 Y3 5
SECOND b4- R4 B3 0
FIRST b4+ R4 G1 5
SECOND a4+ B3 G1 1
FIRST c4+ G1 R3 5
SECOND b3- R3 G3 0
FIRST a3+ Y4 X0 5
SECOND a6- G3 X0 0
FIRST a5- Y3 X0 4
SECOND e1+ G2 X0 0
FIRST b1+ Y4 X0 3
SECOND b1- B2 X0 0
FIRST f1+ B4 X0 3
SECOND b2+ Y1 X0 0
FIRST d1+ R3 X0 2
SECOND d3+ G1 X0 0
FINISH
SCOREFIRST 312
SCORESECOND 104
