[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R2 R4 R3 G3 B1 Y1 R3 Y3 B2 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 Y1 3626
SECOND c6- Y1 G2 1
FIRST b6+ B1 R1 14
SECOND a6+ G2 Y1 0
FIRST b6- R2 Y4 13
SECOND d2+ G3 B2 1
FIRST d2- R3 Y2 14
SECOND e1- B2 B4 1
FIRST d1+ Y2 Y3 13
SECOND c1- B4 R2 0
FIRST c1+ R4 G1 15
SECOND c4+ B2 B3 0
FIRST c5+ Y1 B4 15
SECOND d6- R2 Y4 1
FIRST c5- G1 B4 14
SECOND a2- B3 B1 0
FIRST e2- Y3 B2 16
SECOND a3+ Y3 Y2 0
FIRST c2- B4 Y3 15
SECOND f6- R3 Y3 1
FIRST e2+ Y3 B2 16
SECOND a5- Y3 R4 1
FIRST b1+ Y4 B3 18
SECOND e3+ Y4 G2 1
FIRST d3- B3 G4 15
SECOND a6- Y1 R3 0
FIRST d5- R1 R1 25
SECOND a4+ R3 G3 1
FIRST b1- B4 B3 18
SECOND b3+ B1 B4 0
FIRST d3+ B3 R3 15
SECOND c2+ G2 Y4 1
FIRST e1+ R3 G3 15
SECOND f2- Y2 R1 0
FIRST f1- G3 Y4 14
SECOND f4+ R4 B3 0
FIRST d4+ R1 Y2 13
SECOND e4+ R1 G4 0
FIRST a1+ G4 G2 13
SECOND b2- B4 Y2 0
FIRST b2+ Y4 G1 13
SECOND f1+ G4 G1 0
FIRST e4- G1 G2 12
SECOND a2+ G3 G1 1
FIRST c4- Y2 Y1 19
SECOND b4- Y2 G4 0
FIRST b5+ Y1 B1 13
SECOND c3- Y4 R1 1
FIRST b5- B1 R4 11
SECOND e5+ B3 R4 1
FIRST b3- R4 R2 11
SECOND f3- R1 R2 0
FIRST b4+ B2 G4 11
SECOND f2+ G4 B1 1
FIRST d6+ G2 X0 10
SECOND d5+ G1 X0 1
FIRST f4- G4 X0 9
SECOND a5+ B1 X0 1
FIRST e6- G2 X0 9
SECOND e5- R4 X0 1
FIRST e6+ R2 X0 8
SECOND f5- G1 X0 1
FIRST a3- B2 X0 9
SECOND f5+ R2 X0 1
FINISH
SCOREFIRST 398
SCORESECOND 94
