[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y2 Y4 B4 G1 B2 R3 G1 B1 B3 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 G1 3634
SECOND e1- B1 Y1 2
FIRST d1+ G1 B4 13
SECOND a6+ Y3 Y4 1
FIRST e2+ Y2 G3 16
SECOND f1- G1 G4 2
FIRST e2- B2 Y4 15
SECOND d3- Y4 R2 0
FIRST d2+ B4 B3 13
SECOND b5+ Y1 B2 0
FIRST d2- B4 B2 14
SECOND c4- R2 R4 0
FIRST b6- B3 R2 14
SECOND b1+ G4 Y2 1
FIRST b6+ G3 G3 14
SECOND e5- R4 G3 0
FIRST d5+ Y4 B3 17
SECOND e6- G3 Y3 0
FIRST b4+ B2 Y1 19
SECOND c5+ Y3 G2 0
FIRST c6- G3 R1 16
SECOND d5- B3 B3 1
FIRST e1+ R1 R1 22
SECOND a1+ Y2 B2 1
FIRST a6- B3 B1 24
SECOND c1- G2 R1 1
FIRST f1+ Y1 R4 16
SECOND c1+ R1 G2 0
FIRST f2- R1 G4 14
SECOND b5- B2 B1 0
FIRST f2+ B1 B1 15
SECOND d4+ G2 G1 0
FIRST f3- B1 Y3 14
SECOND a5- B2 G4 0
FIRST a5+ R2 R3 15
SECOND f4- B1 R1 1
FIRST c5- R3 Y3 17
SECOND a3- R1 G3 1
FIRST c4+ Y3 G4 14
SECOND a4+ B3 Y1 1
FIRST d6- G4 R4 16
SECOND e4- G4 B4 1
FIRST e4+ R4 G2 14
SECOND d3+ G1 R4 2
FIRST d6+ Y4 R3 15
SECOND c2- Y1 Y4 1
FIRST e3+ R4 Y2 18
SECOND e6+ R4 B4 1
FIRST e5+ G4 R2 12
SECOND f6- G3 Y2 0
FIRST b4- G2 G2 17
SECOND c3- B4 R2 1
FIRST b3+ G2 Y1 12
SECOND f5+ R2 R3 0
FIRST b3- Y2 X0 10
SECOND b2- R3 X0 0
FIRST a3+ R2 X0 10
SECOND f5- B4 X0 0
FIRST a2+ Y3 X0 9
SECOND f4+ Y2 X0 0
FIRST b2+ R3 X0 7
SECOND a2- Y4 X0 0
FIRST c2+ Y1 X0 7
SECOND b1- R3 X0 0
FINISH
SCOREFIRST 358
SCORESECOND 102
