[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B3 Y2 G2 G4 G1 Y1 R2 R2 B2 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 Y1 1645
SECOND f1+ Y1 R3 0
FIRST f1- Y1 R3 7
SECOND b4- B2 G3 0
FIRST b4+ Y2 R4 6
SECOND c3- R2 R3 0
FIRST b3+ G2 Y2 7
SECOND d2- G3 G2 0
FIRST b5- Y2 Y1 7
SECOND d6- R3 Y3 0
FIRST d6+ R3 R1 7
SECOND c6- R2 G4 0
FIRST d5+ B3 R3 7
SECOND a6+ B2 G4 0
FIRST d1+ R3 G3 7
SECOND c1- R3 G1 0
FIRST e1- G3 G4 7
SECOND c1+ G2 Y4 0
FIRST e1+ G1 G3 7
SECOND e5+ Y4 B4 0
FIRST e2+ R4 B1 7
SECOND e5- B4 G2 0
FIRST f5- G4 R4 7
SECOND e6+ G2 R1 0
FIRST f2- R1 R2 7
SECOND e6- R1 B1 0
FIRST f4+ R4 G2 7
SECOND b5+ G4 Y2 0
FIRST f2+ B1 B3 7
SECOND b6- Y2 B4 0
FIRST b6+ G2 B2 7
SECOND d2+ B1 B1 0
FIRST e2- Y1 Y4 8
SECOND c2- G4 B3 0
FIRST a4+ R2 R1 7
SECOND e4+ B4 R4 0
FIRST f4- Y4 B1 7
SECOND e4- B1 B3 0
FIRST a5- B2 B4 6
SECOND f6- Y3 Y4 0
FIRST d3- R1 B4 6
SECOND b1+ B3 R1 0
FIRST f3- B1 Y4 6
SECOND d3+ R4 G1 0
FIRST f5+ B4 B2 6
SECOND a3+ R1 Y2 0
FIRST a5+ B2 R2 6
SECOND c2+ Y4 Y1 0
FIRST a6- R2 Y3 6
SECOND a2+ G1 Y3 0
FIRST c5- Y4 Y3 6
SECOND a1+ Y1 G3 0
FIRST b2- Y3 G1 5
SECOND a2- G1 R4 0
FIRST e3+ G1 X0 4
SECOND b3- B3 X0 0
FIRST b2+ G3 X0 4
SECOND b1- Y3 X0 0
FIRST d5- Y3 X0 3
SECOND c4- G3 X0 0
FIRST c5+ B3 X0 3
SECOND c4+ R4 X0 0
FIRST a3- B4 X0 2
SECOND d4+ Y2 X0 0
FINISH
SCOREFIRST 448
SCORESECOND 110
