[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R1 R2 B2 B4 B2 B3 G1 Y3 R3 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 R1 1587
SECOND d4+ B3 G2 0
FIRST a3+ R2 G1 7
SECOND b3- R3 B3 0
FIRST a3- B2 R3 7
SECOND d2+ B3 R4 0
FIRST b3+ R3 B3 7
SECOND a6- R4 R2 0
FIRST e4- B3 B4 7
SECOND d6+ Y3 B4 0
FIRST a2+ B2 R2 7
SECOND d3- B4 Y4 0
FIRST a2- R2 G2 7
SECOND c6- G2 B2 0
FIRST a1+ G2 B3 7
SECOND e2- R2 R1 0
FIRST b2+ B3 Y1 7
SECOND b4+ R1 Y2 0
FIRST b4- G1 G2 7
SECOND f4+ Y2 B2 0
FIRST b2- G2 Y2 7
SECOND f6- B2 Y3 0
FIRST b1- Y2 Y4 7
SECOND c4- B2 R1 0
FIRST d3+ Y4 G3 8
SECOND e3+ Y3 G1 0
FIRST c2- G3 G4 7
SECOND e6+ Y4 B1 0
FIRST e6- B4 G4 7
SECOND b6- G1 Y2 0
FIRST b6+ R1 R3 7
SECOND d6- G1 R2 0
FIRST c1+ R3 G3 6
SECOND f1+ Y2 G3 0
FIRST c1- G3 Y3 6
SECOND a6+ B1 G2 0
FIRST c2+ Y3 B1 6
SECOND e5- G2 R3 0
FIRST b5- B1 B1 6
SECOND b5+ R3 G4 0
FIRST a5+ Y1 Y2 6
SECOND a5- G3 Y4 0
FIRST b1+ Y2 Y1 5
SECOND e1- G4 B4 0
FIRST a4+ R1 R4 6
SECOND f5+ Y4 B1 0
FIRST e2+ G4 Y3 5
SECOND f5- G3 Y1 0
FIRST d2- Y3 Y4 5
SECOND f3- B4 G4 0
FIRST f2- R4 R4 5
SECOND c3- R2 R4 0
FIRST f2+ G4 G1 4
SECOND c4+ R1 Y1 0
FIRST c5- Y1 X0 4
SECOND c5+ G4 X0 0
FIRST e5+ Y4 X0 3
SECOND e1+ R4 X0 0
FIRST d1+ R4 X0 3
SECOND e4+ B1 X0 0
FIRST d5+ B1 X0 2
SECOND d5- Y1 X0 0
FIRST f4- G1 X0 3
SECOND f1- Y1 X0 0
FINISH
SCOREFIRST 288
SCORESECOND 96
