[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 R3 G4 B4 G3 Y3 Y2 B4 B1 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 Y2 1579
SECOND c2+ Y2 B2 0
FIRST e3+ G4 Y3 7
SECOND b4- B4 B1 0
FIRST d2- B2 R4 7
SECOND f5+ Y3 R4 0
FIRST b3+ R4 R2 8
SECOND e2- R4 R3 0
FIRST d2+ Y2 B2 9
SECOND a2+ B1 G3 0
FIRST f6- R3 Y1 8
SECOND f4- B1 G4 0
FIRST e6+ Y3 R2 9
SECOND b2- G3 G2 0
FIRST c3- R2 G2 7
SECOND a2- B2 G3 0
FIRST c2- B2 R1 8
SECOND d3- G2 Y1 0
FIRST b2+ R2 B3 8
SECOND c5- Y1 G4 0
FIRST b3- G2 G2 7
SECOND e4- R3 R2 0
FIRST c1+ G2 G1 8
SECOND c6- G3 G1 0
FIRST e6- G3 R1 9
SECOND b5+ G4 B4 0
FIRST d6+ B3 Y3 8
SECOND e1+ Y4 R1 0
FIRST d6- Y3 R4 8
SECOND e2+ B4 R2 0
FIRST d3+ R4 B4 8
SECOND c5+ R1 R3 0
FIRST e1- B4 G4 7
SECOND d4+ R2 B2 0
FIRST d1+ G4 B3 7
SECOND a6- G1 G1 0
FIRST d5+ B3 Y2 7
SECOND f3- B2 Y3 0
FIRST a3+ Y2 R3 7
SECOND f1+ Y3 R4 0
FIRST e5- R3 Y4 7
SECOND f2+ R4 Y1 0
FIRST f2- Y4 G1 7
SECOND f4+ R3 Y4 0
FIRST a6+ Y1 Y1 7
SECOND d5- Y1 B3 0
FIRST a3- G1 B1 7
SECOND a5+ G4 Y2 0
FIRST e4+ Y1 Y4 6
SECOND e5+ Y4 B3 0
FIRST b5- Y4 G3 6
SECOND f5- B3 R1 0
FIRST f1- G3 B1 7
SECOND b4+ G1 G2 0
FIRST c4- R1 X0 8
SECOND b1- R2 X0 0
FIRST c4+ B1 X0 6
SECOND a1+ R1 X0 0
FIRST b6- G1 X0 5
SECOND b6+ Y2 X0 0
FIRST a5- B1 X0 4
SECOND b1+ G2 X0 0
FIRST a4+ R1 X0 4
SECOND c1- B3 X0 0
FINISH
SCOREFIRST 388
SCORESECOND 82
