[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 G1 G4 G2 Y1 B1 Y4 B3 R1 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G2 B3 1594
SECOND e5- Y1 B4 1
FIRST e4+ Y1 G1 6
SECOND f5+ B4 B2 0
FIRST d5+ G1 Y3 6
SECOND f2- B1 Y1 0
FIRST e4- G1 B3 6
SECOND a4+ B2 Y2 0
FIRST f6- B4 Y2 6
SECOND f4- B3 G1 0
FIRST f4+ B3 B2 7
SECOND e2+ Y4 G3 0
FIRST d3+ Y2 Y3 7
SECOND f1+ Y2 B1 0
FIRST f1- B2 R3 8
SECOND c2- Y1 G1 0
FIRST f5- G4 R4 7
SECOND e2- B1 R2 0
FIRST e5+ R4 R3 7
SECOND e3+ R1 G4 0
FIRST d1+ Y3 G3 7
SECOND c1+ G1 B4 0
FIRST d2- Y3 Y4 7
SECOND a3+ G3 G3 0
FIRST e6- Y4 R2 7
SECOND b1- G3 R1 0
FIRST a1+ R3 G4 7
SECOND e6+ R1 G2 0
FIRST d6+ G4 B1 6
SECOND d2+ R2 Y4 0
FIRST d3- R2 R1 7
SECOND a6- G4 G4 0
FIRST d6- R1 R4 6
SECOND a6+ G2 R4 0
FIRST d4+ B1 R2 7
SECOND c5+ G4 R4 0
FIRST c5- R4 R1 6
SECOND d5- R4 Y2 0
FIRST f3- R1 Y2 6
SECOND c4- G1 G2 0
FIRST a2- R3 B2 6
SECOND c2+ Y2 R3 0
FIRST a5- R2 Y1 6
SECOND c6- G2 B2 0
FIRST f2+ Y1 Y4 5
SECOND b3+ B2 B3 0
FIRST b4- Y2 B1 5
SECOND b2+ R4 Y3 0
FIRST c3- B2 G2 5
SECOND e1+ B3 R3 0
FIRST e1- G3 G3 5
SECOND b2- R3 R2 0
FIRST a2+ B3 B4 5
SECOND b1+ Y3 Y3 0
FIRST a3- G3 X0 4
SECOND c4+ R3 X0 0
FIRST b4+ G2 X0 3
SECOND b6+ R2 X0 0
FIRST c1- B1 X0 3
SECOND a5+ Y4 X0 0
FIRST b3- Y4 X0 3
SECOND b6- Y3 X0 0
FIRST b5+ B4 X0 2
SECOND b5- B4 X0 0
FINISH
SCOREFIRST 362
SCORESECOND 110
