[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 Y2 G2 R3 Y4 B1 G3 B4 G3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 Y1 3809
SECOND c3- B1 G4 1
FIRST b3+ Y1 Y3 14
SECOND f2- G3 R3 0
FIRST e2+ Y3 R2 16
SECOND c4+ R3 R4 0
FIRST a3+ Y2 B3 18
SECOND f1- B3 R2 0
FIRST f1+ B3 B4 23
SECOND d6- R2 Y3 2
FIRST a3- B2 Y3 18
SECOND b5- G3 R3 0
FIRST d3+ Y3 Y1 15
SECOND a4+ R3 R4 0
FIRST d6+ R2 G4 14
SECOND e3+ Y3 G2 0
FIRST d5+ G2 B1 14
SECOND f5+ G4 G1 0
FIRST f6- B4 B1 20
SECOND c5+ R4 R2 1
FIRST c6- G4 G3 20
SECOND d1+ G1 Y4 1
FIRST d3- G3 Y4 21
SECOND e5+ R4 Y2 1
FIRST f5- Y4 B4 20
SECOND f4+ Y2 Y1 0
FIRST e6+ Y4 Y2 19
SECOND b4- G2 Y3 0
FIRST e6- B4 G1 21
SECOND b1+ B4 R1 1
FIRST d5- Y2 R1 27
SECOND d4+ Y1 Y1 0
FIRST e1- R1 B3 15
SECOND c5- R2 R1 0
FIRST d2+ B3 G3 18
SECOND c1+ R1 B4 0
FIRST e2- G3 R3 15
SECOND e1+ B4 B2 0
FIRST d2- R3 R4 13
SECOND a2+ B2 G2 0
FIRST e5- R4 R1 15
SECOND f3- G2 B2 0
FIRST c1- B1 R2 13
SECOND b2- R1 Y4 0
FIRST e4- R1 G2 14
SECOND b4+ Y1 B3 1
FIRST c4- G1 G1 15
SECOND b6+ Y4 B1 0
FIRST f2+ R2 B2 18
SECOND c2+ B1 G4 0
FIRST c2- Y1 G4 16
SECOND b5+ B2 Y2 1
FIRST b2+ B1 R4 12
SECOND a5- Y4 G1 0
FIRST b3- G1 X0 11
SECOND a2- G4 X0 0
FIRST e4+ G4 X0 11
SECOND a1+ Y2 X0 1
FIRST f4- R4 X0 11
SECOND a5+ G1 X0 2
FIRST b6- B2 X0 12
SECOND a6- Y3 X0 1
FIRST a6+ G2 X0 10
SECOND b1- B3 X0 1
FINISH
SCOREFIRST 362
SCORESECOND 98
