[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y2 B1 G4 G3 R3 B4 G2 G3 R1 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 Y1 3806
SECOND b5- G3 G3 1
FIRST d3+ R3 R2 15
SECOND d5- R1 G4 1
FIRST d5+ B1 Y3 17
SECOND d6+ B4 B4 1
FIRST d6- Y1 B2 17
SECOND f3- G3 R4 0
FIRST e3+ Y3 Y1 15
SECOND c6- G4 R2 0
FIRST c5+ Y1 B2 14
SECOND f1- B4 Y2 0
FIRST b6+ G4 R3 14
SECOND e5+ R4 B1 0
FIRST e2+ R3 B3 14
SECOND c3- G2 Y2 0
FIRST d3- B3 G4 14
SECOND e6+ Y2 B2 1
FIRST e6- G4 G1 14
SECOND d2- B1 G4 0
FIRST c5- G1 Y4 14
SECOND e1+ B2 R3 0
FIRST e5- Y4 R4 17
SECOND a1+ R1 Y4 1
FIRST e4+ R4 B1 14
SECOND f5+ Y2 B2 0
FIRST b5+ B1 R4 15
SECOND f2- Y4 G1 0
FIRST e4- R4 Y4 14
SECOND d4+ G1 R2 0
FIRST f4- Y4 G2 17
SECOND c1- R2 B3 1
FIRST f6- G2 B4 21
SECOND a2+ R2 Y1 1
FIRST f4+ B4 G3 16
SECOND c2+ B2 Y3 3
FIRST d2+ G3 G1 23
SECOND a4+ Y3 Y3 2
FIRST c4+ G1 B3 18
SECOND a3- Y3 R4 1
FIRST e2- B3 Y3 17
SECOND c2- R4 Y4 1
FIRST f2+ Y3 R2 19
SECOND c1+ Y1 R3 1
FIRST e1- R2 G2 16
SECOND a5- G4 B1 0
FIRST b2- B2 R1 11
SECOND b4- R3 B3 1
FIRST b6- R1 B4 14
SECOND b1- B1 G2 1
FIRST b1+ Y2 R1 12
SECOND c4- Y4 Y1 0
FIRST a6+ R1 Y2 11
SECOND d1+ B3 G1 0
FIRST f5- B4 X0 10
SECOND f1+ Y1 X0 1
FIRST b2+ R2 X0 8
SECOND b3- G1 X0 1
FIRST a2- B2 X0 9
SECOND a3+ R3 X0 0
FIRST b3+ Y2 X0 9
SECOND b4+ G2 X0 1
FIRST a6- G2 X0 8
SECOND a5+ B3 X0 2
FINISH
SCOREFIRST 352
SCORESECOND 96
