[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y1 B4 B3 R3 G4 Y4 G2 R1 B1 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 R2 3806
SECOND e5- B1 Y2 1
FIRST e5+ Y1 Y2 13
SECOND b4+ Y4 R4 0
FIRST b5- G4 R3 14
SECOND c2- G2 Y2 1
FIRST c2+ R2 Y1 15
SECOND b2+ R4 Y1 1
FIRST b2- B4 Y3 14
SECOND e1+ Y1 G3 1
FIRST e2+ B3 G3 13
SECOND a3- R1 G4 1
FIRST a3+ Y1 Y2 15
SECOND f6- G3 Y1 1
FIRST c1+ Y2 G4 14
SECOND e4+ B2 G4 0
FIRST f2- Y3 B2 15
SECOND e1- G4 G1 1
FIRST f2+ R3 B1 14
SECOND c5- Y2 Y3 0
FIRST c1- Y2 Y4 18
SECOND c3- G1 R2 0
FIRST d3+ G3 R1 14
SECOND d2+ Y2 B4 0
FIRST d2- B2 R2 15
SECOND f5- Y1 R1 1
FIRST b1+ R2 G2 14
SECOND b6+ Y3 R2 0
FIRST b1- G2 Y3 14
SECOND e2- R2 B3 1
FIRST f4+ R1 B3 15
SECOND a5+ G4 G1 1
FIRST f1+ Y3 G2 18
SECOND d3- B3 G2 1
FIRST a1+ G2 B1 15
SECOND b6- G1 B4 1
FIRST e3+ B3 Y4 13
SECOND d5+ G2 B2 1
FIRST e6- B1 B2 13
SECOND b4- R1 Y4 1
FIRST a2- B2 R1 18
SECOND c6- Y4 R3 0
FIRST f5+ B1 B4 12
SECOND a6- R3 B1 1
FIRST d6+ R1 R4 12
SECOND b5+ B2 G3 0
FIRST a5- Y4 R4 13
SECOND e6+ R2 Y3 2
FIRST a4+ G4 G1 15
SECOND d6- G3 B3 0
FIRST f4- G1 G3 15
SECOND a2+ B3 R4 1
FIRST f3- G3 G1 14
SECOND d1+ B4 R3 1
FIRST c4- B4 X0 11
SECOND a6+ R3 X0 1
FIRST c4+ R4 X0 9
SECOND b3- B4 X0 1
FIRST b3+ G1 X0 7
SECOND c5+ B1 X0 0
FIRST e4- R4 X0 7
SECOND d5- Y3 X0 0
FIRST d4+ Y4 X0 7
SECOND f1- R4 X0 0
FINISH
SCOREFIRST 366
SCORESECOND 94
