[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 Y2 Y3 R2 Y4 R3 R1 R2 B2 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 B4 1676
SECOND b2- R2 G2 0
FIRST b1+ Y2 B3 8
SECOND d1+ R2 B1 0
FIRST f2+ Y4 R4 8
SECOND e5- B2 Y3 0
FIRST f3- B4 G3 7
SECOND d3- B1 G3 0
FIRST e3+ B4 B2 8
SECOND c5- G3 G1 0
FIRST c5+ Y3 G3 8
SECOND d2- Y3 B3 0
FIRST e4- R4 Y3 8
SECOND c6- B3 R4 0
FIRST b6+ G3 R3 8
SECOND a3- R3 G4 1
FIRST b5+ B3 R1 8
SECOND d6- R1 Y1 0
FIRST b6- G3 G2 8
SECOND b1- G4 G3 0
FIRST a6+ Y3 G4 8
SECOND f2- G3 R1 0
FIRST a6- R3 Y2 8
SECOND d4+ R1 B2 0
FIRST e4+ G4 Y4 8
SECOND f4- Y1 G1 0
FIRST e2+ B2 Y1 8
SECOND f1+ G2 R4 0
FIRST c1- G2 Y1 9
SECOND e2- G1 Y4 0
FIRST d2+ R1 B1 8
SECOND e1- B2 Y4 0
FIRST a2+ Y2 G1 8
SECOND a4+ R4 G4 0
FIRST f4+ B1 B2 8
SECOND b3- Y4 Y1 0
FIRST a2- B2 R2 7
SECOND a1+ Y1 Y2 0
FIRST c1+ R2 R1 7
SECOND f5+ Y4 B4 0
FIRST d6+ Y1 R3 7
SECOND e5+ R4 B3 0
FIRST b5- R3 G1 6
SECOND f1- G1 B1 0
FIRST e1+ Y1 B3 7
SECOND b3+ G4 R3 0
FIRST a5+ B3 G2 6
SECOND c4+ B1 Y3 0
FIRST b2+ G2 R4 6
SECOND f6- R3 Y2 0
FIRST b4- Y4 B1 5
SECOND f5- Y3 G2 0
FIRST d3+ G1 G4 5
SECOND c3- B3 B4 0
FIRST a3+ G4 X0 5
SECOND c2+ B4 X0 0
FIRST a5- R4 X0 4
SECOND e6+ Y2 X0 0
FIRST c4- B1 X0 3
SECOND d5+ G2 X0 0
FIRST b4+ G1 X0 3
SECOND c2- B4 X0 0
FIRST e6- R1 X0 3
SECOND d5- Y2 X0 0
FINISH
SCOREFIRST 302
SCORESECOND 92
