[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R2 B4 G1 Y3 B1 G2 G1 B2 G4 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 R2 1611
SECOND b6+ G3 R2 0
FIRST b4+ B4 G2 6
SECOND a3- B2 Y1 0
FIRST a3+ R2 G3 7
SECOND e3+ G2 B3 0
FIRST f3- R2 G3 7
SECOND f2+ Y1 Y4 0
FIRST d3+ G3 B3 7
SECOND e4+ G1 B4 0
FIRST f2- B1 G4 7
SECOND c5+ B4 G3 0
FIRST c6- G3 G1 7
SECOND d2+ G4 Y2 0
FIRST e2- G4 B3 7
SECOND b5+ Y2 R2 0
FIRST f1+ G1 G4 7
SECOND d1+ R2 G2 0
FIRST c5- G2 Y1 7
SECOND a2+ Y4 R1 0
FIRST b2- G4 R4 7
SECOND c3- G3 R1 0
FIRST b5- R4 R3 7
SECOND b1+ R2 Y4 0
FIRST b3+ R3 B2 6
SECOND e5+ Y4 B1 0
FIRST b4- B3 Y3 6
SECOND d5+ R1 B3 0
FIRST e5- Y1 Y2 6
SECOND e4- B3 Y3 0
FIRST e1- Y2 B4 7
SECOND e6+ B1 G1 0
FIRST e2+ G1 Y2 6
SECOND a6+ G1 R3 0
FIRST c1- B2 B1 6
SECOND f4+ G2 B1 0
FIRST f1- B1 G2 6
SECOND d3- B1 Y1 0
FIRST b3- B3 R4 6
SECOND a5- Y1 Y2 0
FIRST d2- B4 Y1 6
SECOND c1+ B3 R4 0
FIRST b2+ Y3 Y4 5
SECOND d6- R1 R3 0
FIRST c2+ R4 R1 6
SECOND f5- Y2 B2 0
FIRST e1+ R1 B2 5
SECOND a2- B2 B4 0
FIRST f4- Y1 Y4 5
SECOND a1+ R4 Y3 0
FIRST c2- Y4 R3 5
SECOND d5- Y3 R4 0
FIRST d4+ R3 R1 4
SECOND a5+ R3 G4 0
FIRST f6- R1 X0 4
SECOND a4+ G4 X0 0
FIRST b1- B2 X0 3
SECOND c4- R3 X0 0
FIRST b6- Y2 X0 3
SECOND c4+ Y3 X0 0
FIRST f5+ G2 X0 3
SECOND d6+ R4 X0 0
FIRST e6- Y4 X0 2
SECOND a6- B4 X0 0
FINISH
SCOREFIRST 202
SCORESECOND 100
