[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G3 Y3 B3 B3 Y3 G4 B2 Y2 B1 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 B1 1709
SECOND e2- B2 Y3 0
FIRST e2+ G3 B2 6
SECOND e6+ G4 Y1 0
FIRST d3+ Y3 G3 7
SECOND a2+ Y3 B3 0
FIRST f2- Y3 R2 7
SECOND f5+ B3 G3 0
FIRST d3- B3 Y2 7
SECOND f5- Y1 G2 0
FIRST f2+ G3 R1 7
SECOND b4- B1 R2 0
FIRST b3+ R1 Y2 7
SECOND a6- R2 G3 0
FIRST b4+ B1 R3 7
SECOND c2- Y4 B2 0
FIRST d2+ R3 Y4 7
SECOND d4+ G2 R4 0
FIRST a6+ B2 B1 7
SECOND c6- Y2 G4 0
FIRST c5+ R2 R2 7
SECOND b5+ G3 G1 0
FIRST d5- R2 R1 7
SECOND d5+ R4 R3 0
FIRST b5- R1 B4 7
SECOND b1- B2 Y1 0
FIRST c5- Y2 G4 7
SECOND a3+ G3 R3 0
FIRST e4- Y2 B2 7
SECOND d6- Y1 B4 0
FIRST c3- B1 Y1 6
SECOND a3- R3 Y2 0
FIRST b6+ B2 R4 6
SECOND a5- G1 R1 0
FIRST a5+ Y1 G4 6
SECOND b6- R3 G2 0
FIRST f6- Y4 R3 6
SECOND d2- R1 B1 0
FIRST e3+ R3 G1 6
SECOND c4- Y2 R1 0
FIRST c2+ G1 G2 6
SECOND f4- B1 Y3 0
FIRST c4+ G2 Y4 6
SECOND c1- B4 Y4 0
FIRST c1+ R4 B4 6
SECOND e1+ G4 B4 0
FIRST e1- B4 G2 5
SECOND b2+ G2 R4 0
FIRST e4+ G2 Y1 5
SECOND f1- Y4 G1 0
FIRST a4+ Y1 R4 4
SECOND d1+ G1 B3 0
FIRST f1+ B4 G1 4
SECOND e6- B3 R2 0
FIRST b3- G1 X0 4
SECOND b1+ R1 X0 0
FIRST e5- Y4 X0 3
SECOND f3- B4 X0 0
FIRST e5+ R4 X0 3
SECOND b2- R2 X0 0
FIRST a2- G4 X0 3
SECOND d6+ R4 X0 0
FIRST a1+ G4 X0 2
SECOND f4+ Y3 X0 0
FINISH
SCOREFIRST 382
SCORESECOND 86
