[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R3 Y3 B3 G4 B1 Y2 Y2 G3 B4 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 Y4 1763
SECOND b3- B4 G1 0
FIRST b3+ Y4 B4 7
SECOND c2+ Y2 Y3 0
FIRST b4- B4 B4 7
SECOND b6+ G3 B3 0
FIRST c6- B3 B1 7
SECOND a2+ Y2 G3 0
FIRST c5+ R3 R1 7
SECOND f5- Y3 R3 0
FIRST a3+ B4 Y2 7
SECOND a4+ R3 G4 0
FIRST b6- Y3 B2 7
SECOND f3- B3 B2 0
FIRST a3- Y2 Y1 7
SECOND e3+ B1 Y4 0
FIRST b2- B2 B3 7
SECOND a2- B2 G2 0
FIRST a6+ B3 R3 7
SECOND a6- G1 R2 0
FIRST b5+ R3 R4 7
SECOND c3- Y4 Y3 0
FIRST b2+ R4 G1 7
SECOND e4- G3 G1 0
FIRST a5+ R1 G2 7
SECOND e5- Y3 Y1 0
FIRST a5- Y1 B2 7
SECOND f5+ Y1 R1 0
FIRST a1+ G2 R2 7
SECOND c1- G1 R4 0
FIRST b1- B2 R2 7
SECOND e1- R1 R4 0
FIRST b1+ R2 G3 6
SECOND d1+ R2 R3 0
FIRST b5- G3 G3 6
SECOND d6+ R4 G4 0
FIRST c5- G3 Y3 6
SECOND b4+ R3 G2 0
FIRST c4- Y3 Y2 6
SECOND d5+ G2 B1 0
FIRST d2- Y2 G2 6
SECOND e2+ G4 B2 0
FIRST d2+ R2 Y1 6
SECOND e1+ R4 R2 0
FIRST c2- G2 Y4 6
SECOND c4+ R2 B3 0
FIRST e2- Y4 G1 5
SECOND e6- B3 Y4 0
FIRST f6- G1 R4 5
SECOND f2- Y4 B4 0
FIRST d3+ R4 G4 5
SECOND d4+ B2 Y1 0
FIRST d3- G4 R1 4
SECOND d5- B4 R1 0
FIRST e6+ Y1 X0 4
SECOND d6- R1 X0 0
FIRST c1+ B1 X0 3
SECOND e5+ G2 X0 0
FIRST f2+ B1 X0 3
SECOND e4+ B1 X0 0
FIRST f4- G1 X0 3
SECOND f1- G4 X0 0
FIRST f4+ R1 X0 2
SECOND f1+ Y1 X0 0
FINISH
SCOREFIRST 322
SCORESECOND 102
