[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 Y4 G3 Y2 R3 Y1 G2 B2 Y3 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y2 G4 1725
SECOND a1+ B2 B3 0
FIRST b4+ Y4 Y1 7
SECOND b1- Y1 B2 0
FIRST b5- G4 G2 7
SECOND b2- G2 Y4 0
FIRST a2+ G2 R3 7
SECOND b2+ Y4 Y2 0
FIRST c2- B4 Y1 7
SECOND c6- G3 B4 0
FIRST b6+ R3 R1 7
SECOND a4+ B3 R4 0
FIRST a5- R3 Y3 7
SECOND b3- R4 Y1 0
FIRST c5+ Y3 G3 8
SECOND c4+ Y1 G1 0
FIRST b6- G3 B3 7
SECOND d5- B2 G4 0
FIRST c5- G3 G1 7
SECOND e5+ G4 B1 0
FIRST b5+ B3 B2 7
SECOND e1- Y3 R2 0
FIRST a2- B2 B1 8
SECOND f1- B1 G1 0
FIRST c4- R1 R2 7
SECOND e4- Y2 B1 0
FIRST d4+ R2 B2 7
SECOND e4+ R2 G2 0
FIRST e3+ B2 B1 7
SECOND f1+ G1 R4 0
FIRST f2- Y1 Y4 8
SECOND c2+ R4 R1 0
FIRST b3+ Y4 B4 8
SECOND d6+ B4 G3 0
FIRST b4- B4 G4 8
SECOND e6- G3 G4 0
FIRST c3- G4 R2 7
SECOND f6- B1 Y2 0
FIRST d3+ R2 R4 7
SECOND e2+ R1 R3 0
FIRST c1+ R4 R4 6
SECOND e5- Y2 Y3 0
FIRST a3+ R4 G2 6
SECOND a5+ G1 B4 0
FIRST d5+ G2 B3 6
SECOND e1+ B4 R1 0
FIRST a6+ B3 Y3 6
SECOND a6- R1 R2 0
FIRST e2- B1 Y2 6
SECOND d2+ R2 B3 0
FIRST d3- Y2 G1 5
SECOND b1+ G2 R3 0
FIRST f2+ G1 R1 5
SECOND d1+ R3 Y4 0
FIRST f3- Y1 X0 4
SECOND f5- G4 X0 0
FIRST e6+ Y3 X0 4
SECOND f4+ Y4 X0 0
FIRST f5+ R1 X0 4
SECOND d6- B3 X0 0
FIRST a3- B1 X0 3
SECOND c1- Y3 X0 0
FIRST f4- G1 X0 2
SECOND d2- R3 X0 0
FINISH
SCOREFIRST 410
SCORESECOND 104
