[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G3 G3 Y3 G1 B1 B3 Y3 Y3 Y4 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 B1 1628
SECOND c1+ Y3 G1 1
FIRST c1- G3 Y2 6
SECOND c3- B3 Y1 0
FIRST d3+ B1 B3 7
SECOND d2+ Y3 B4 0
FIRST b3+ B3 B4 7
SECOND c2- Y1 G2 0
FIRST d2- Y3 R4 7
SECOND b6- G2 G1 0
FIRST c2+ G3 Y4 7
SECOND d1+ Y4 R1 0
FIRST e2+ B1 G4 7
SECOND e5+ G1 R2 0
FIRST a6+ Y2 Y1 7
SECOND f6- G1 G4 0
FIRST e1- R4 B3 7
SECOND a3- B4 R3 0
FIRST d3- B3 Y2 8
SECOND e1+ R1 G2 0
FIRST e2- Y1 G4 7
SECOND b6+ G2 B1 0
FIRST b5+ Y2 Y3 7
SECOND f5+ Y4 R1 0
FIRST b3- Y3 R2 7
SECOND f4+ R2 G3 0
FIRST a6- R2 G2 7
SECOND f2+ G3 B1 0
FIRST a5+ G2 B4 7
SECOND e3+ B1 B3 0
FIRST a3+ B4 R4 7
SECOND d5+ B3 G3 0
FIRST a2+ R4 R1 7
SECOND e6- B1 B2 0
FIRST e6+ R1 G1 6
SECOND c5- G4 Y2 0
FIRST e4- G1 R3 6
SECOND d5- G3 R4 0
FIRST b2+ R3 G2 6
SECOND f3- B2 R2 0
FIRST b5- G2 R3 6
SECOND f2- R1 R4 0
FIRST b4- R3 R1 6
SECOND c4+ Y2 Y2 0
FIRST d4+ R1 B2 6
SECOND f1- R4 R3 0
FIRST a5- B2 R2 5
SECOND c4- R3 B2 0
FIRST c6- R2 B2 5
SECOND a4+ R4 Y1 0
FIRST b4+ B2 Y4 5
SECOND b1- Y2 B4 0
FIRST c5+ Y4 Y1 4
SECOND a1+ Y1 G4 0
FIRST e4+ Y1 X0 4
SECOND f5- R2 X0 0
FIRST f1+ Y4 X0 3
SECOND b1+ B2 X0 0
FIRST a2- G4 X0 3
SECOND d6- B4 X0 0
FIRST b2- G4 X0 3
SECOND d6+ G4 X0 0
FIRST f4- B4 X0 2
SECOND e5- R3 X0 0
FINISH
SCOREFIRST 368
SCORESECOND 104
