[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 R4 G4 R1 G1 B4 B1 Y4 G1 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 R4 1630
SECOND c5- B1 G1 0
FIRST d3+ G1 B3 7
SECOND e2+ Y4 Y4 0
FIRST f2- R4 Y4 7
SECOND c1- G3 Y2 0
FIRST f2+ B4 B4 7
SECOND f4- Y2 Y2 0
FIRST c1+ B3 R2 7
SECOND e4+ G1 Y1 0
FIRST e2- B4 B2 7
SECOND c6- Y4 G2 0
FIRST d2+ G4 Y3 7
SECOND f1+ G2 Y3 0
FIRST d2- R4 R3 6
SECOND e6- Y3 G2 0
FIRST c2+ Y4 Y4 7
SECOND e1- Y2 G4 0
FIRST d3- Y4 R1 7
SECOND b4+ B4 R1 0
FIRST e6+ R3 G3 6
SECOND c2- R1 Y1 0
FIRST f6- G3 Y1 7
SECOND c5+ G2 R2 0
FIRST f5+ Y3 R2 6
SECOND b6- G1 G4 0
FIRST b5+ R1 G1 6
SECOND b2+ R2 R3 0
FIRST a6+ Y1 B1 7
SECOND b4- R3 R2 0
FIRST a6- G1 G3 7
SECOND d1+ Y1 B2 0
FIRST a5+ B1 G2 7
SECOND e4- G4 B4 0
FIRST d6+ G3 R3 7
SECOND b2- G4 R3 0
FIRST d6- R3 G2 7
SECOND c4- Y1 B3 0
FIRST b3- R2 B3 7
SECOND f4+ B2 Y3 0
FIRST d5+ B3 B1 7
SECOND e3+ Y3 R1 0
FIRST c4+ B1 Y3 7
SECOND f5- R2 G3 0
FIRST d5- Y3 B2 7
SECOND f3- R3 B3 0
FIRST e5+ B2 Y2 6
SECOND a3- B3 R4 0
FIRST a3+ G2 Y2 6
SECOND b6+ R1 B1 0
FIRST b3+ G2 G4 6
SECOND b1- G3 R4 0
FIRST e1+ G4 Y1 5
SECOND a5- B1 B2 0
FIRST b5- Y1 X0 5
SECOND a2+ B3 X0 0
FIRST c3- B2 X0 4
SECOND a2- R4 X0 0
FIRST e5- R2 X0 4
SECOND b1+ R4 X0 0
FIRST f1- Y2 X0 3
SECOND d4+ B4 X0 0
FIRST a1+ Y2 X0 3
SECOND a4+ B2 X0 0
FINISH
SCOREFIRST 356
SCORESECOND 84
