[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y1 G4 R3 G4 B1 G2 R4 G3 R3 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 R4 1647
SECOND b5- G3 B2 0
FIRST b5+ R3 B4 6
SECOND a1+ Y3 Y3 0
FIRST d3+ R4 R2 6
SECOND d1+ R3 B4 0
FIRST d3- G4 R4 6
SECOND e4+ Y3 B3 0
FIRST d2+ B4 G2 7
SECOND b4- R4 G1 0
FIRST e2- R4 Y2 7
SECOND c1- G1 Y4 0
FIRST b1+ B1 G2 7
SECOND e5+ Y4 G1 1
FIRST c1+ Y1 G3 7
SECOND c4+ B3 B1 0
FIRST c5- G3 B3 7
SECOND d5+ G1 R1 0
FIRST a5+ B3 G1 7
SECOND b3- G2 R2 0
FIRST b1- G1 B2 7
SECOND a6- B1 R2 0
FIRST a3+ G2 Y3 7
SECOND b6- B4 B2 0
FIRST a5- Y3 Y4 7
SECOND c5+ R2 R3 0
FIRST e2+ Y4 B2 7
SECOND e5- R3 Y2 1
FIRST b3+ B2 G1 11
SECOND f3- R2 Y1 0
FIRST b2- G1 B1 7
SECOND a4+ Y2 R4 0
FIRST a2+ B1 R2 6
SECOND c2+ Y1 G4 0
FIRST a3- R2 G3 6
SECOND d6- B2 Y4 0
FIRST c4- G3 Y3 6
SECOND f1+ R1 Y1 0
FIRST b4+ Y3 Y2 6
SECOND a6+ R4 G4 0
FIRST b2+ Y2 Y1 6
SECOND f2- G4 G2 0
FIRST c2- Y1 R3 6
SECOND c6- G2 R1 0
FIRST c3- G2 Y4 6
SECOND e1- Y1 Y2 0
FIRST e3+ Y4 B4 5
SECOND b6+ G4 B3 0
FIRST e1+ B4 R1 5
SECOND d4+ Y4 B4 0
FIRST a2- R1 B3 5
SECOND f1- B3 G3 0
FIRST d6+ Y2 R1 5
SECOND f4+ G3 B1 0
FIRST d2- R1 X0 4
SECOND f4- B1 X0 0
FIRST f5- R3 X0 3
SECOND f5+ Y2 X0 0
FIRST f6- R2 X0 3
SECOND d5- B4 X0 0
FIRST f2+ B2 X0 2
SECOND e6+ R1 X0 0
FIRST e4- B3 X0 2
SECOND e6- B2 X0 0
FINISH
SCOREFIRST 340
SCORESECOND 90
