[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B3 G4 B2 G1 G3 G1 Y4 R2 G4 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 G2 1743
SECOND e2- G2 R4 0
FIRST d2+ B2 G1 8
SECOND b4- G1 Y2 0
FIRST b3+ G1 Y1 7
SECOND c6- G4 G3 0
FIRST b6+ G4 R1 8
SECOND a2- R2 B2 0
FIRST d2- G2 B4 8
SECOND d4+ G3 B1 0
FIRST b4+ Y1 R3 8
SECOND e5- Y2 Y4 0
FIRST b6- B4 Y3 8
SECOND f4- B2 G4 0
FIRST c4- R1 R1 8
SECOND f5+ R4 R4 0
FIRST b5- R1 Y2 9
SECOND b5+ Y4 B1 0
FIRST e4+ Y2 R3 8
SECOND e1- B1 R1 0
FIRST e4- R3 R4 8
SECOND d1+ R4 G3 0
FIRST a6+ R4 B1 7
SECOND d5- G4 B3 0
FIRST a4+ B1 B1 8
SECOND b1+ B1 G2 0
FIRST a5+ B1 B2 8
SECOND e6+ Y4 Y3 0
FIRST e3+ Y3 Y2 7
SECOND e2+ G3 Y3 0
FIRST f4+ B2 R4 7
SECOND f1+ G2 R3 0
FIRST c5+ R4 G3 6
SECOND a3+ Y3 R2 0
FIRST f5- Y2 B3 7
SECOND c3- B3 R1 0
FIRST c2+ R3 R2 7
SECOND d3- R3 B4 0
FIRST e5+ R2 R2 6
SECOND a1+ R1 B2 0
FIRST d5+ R2 G4 6
SECOND c1- R1 G1 0
FIRST a6- G4 Y4 6
SECOND c5- Y3 Y2 0
FIRST f6- Y4 B4 6
SECOND c4+ B4 Y1 0
FIRST d3+ B3 Y3 5
SECOND b1- Y2 B4 0
FIRST f3- B3 Y4 5
SECOND c2- B2 R3 0
FIRST f2+ G3 Y1 5
SECOND a2+ B4 Y1 0
FIRST f2- Y3 G2 5
SECOND f1- Y1 B3 0
FIRST a5- Y1 X0 4
SECOND d6+ B3 X0 0
FIRST d6- G2 X0 4
SECOND e1+ R3 X0 0
FIRST a3- Y4 X0 3
SECOND b2+ Y1 X0 0
FIRST e6- B4 X0 3
SECOND b2- R2 X0 0
FIRST b3- G3 X0 2
SECOND c1+ G1 X0 0
FINISH
SCOREFIRST 306
SCORESECOND 94
