[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y3 G4 G1 Y4 Y3 R2 B1 B3 Y4 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 R1 1703
SECOND b2- Y4 Y1 0
FIRST b1+ G4 R3 7
SECOND a5+ Y1 B4 0
FIRST b5- R1 G2 6
SECOND c2- G3 B4 0
FIRST b4+ G1 B2 7
SECOND f4+ B4 B2 0
FIRST c1+ R3 R4 7
SECOND f2+ B4 Y2 0
FIRST b2+ Y3 G3 7
SECOND d4+ R2 Y3 0
FIRST d3+ R4 R1 7
SECOND a6- Y3 B3 0
FIRST b4- R1 R4 7
SECOND a3- B2 G1 0
FIRST a3+ G2 G3 7
SECOND e5- B1 R1 0
FIRST b3- Y3 B4 7
SECOND e2+ Y2 G4 0
FIRST b3+ G3 R2 7
SECOND e4- B3 G1 0
FIRST c1- G3 Y1 7
SECOND c6- G1 G2 0
FIRST a4+ Y1 Y4 7
SECOND b1- R1 R1 0
FIRST f3- B4 R3 7
SECOND a5- G4 R4 0
FIRST e3+ R4 B3 7
SECOND d5- B3 B2 0
FIRST c2+ R3 G1 7
SECOND d1+ B2 G4 0
FIRST c3- B3 G2 6
SECOND f5- R4 Y2 0
FIRST d3- Y4 B1 6
SECOND a1+ G4 B1 0
FIRST b5+ G1 B1 6
SECOND c4- G1 G2 0
FIRST b6- B1 G4 6
SECOND a2+ G2 R3 0
FIRST b6+ B1 B4 6
SECOND f5+ R1 R4 0
FIRST d2+ G4 R2 6
SECOND e2- R3 R2 0
FIRST d2- B4 Y2 5
SECOND d6- Y2 R3 0
FIRST d6+ G2 B2 6
SECOND c4+ G2 Y3 0
FIRST a2- B2 B3 5
SECOND e5+ R2 Y1 0
FIRST e6- Y2 Y2 5
SECOND f2- B1 G3 0
FIRST e6+ R2 Y1 5
SECOND f6- R4 Y4 0
FIRST c5- Y1 X0 4
SECOND f1- Y1 X0 0
FIRST d5+ R2 X0 4
SECOND e1- R3 X0 0
FIRST e1+ B3 X0 3
SECOND e4+ Y3 X0 0
FIRST f4- Y2 X0 3
SECOND a6+ G3 X0 0
FIRST c5+ B2 X0 2
SECOND f1+ Y4 X0 0
FINISH
SCOREFIRST 342
SCORESECOND 118
