[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R3 B2 G3 B3 Y1 G2 G1 B1 Y2 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 B4 1692
SECOND f1+ G1 G2 1
FIRST e2+ R3 Y2 7
SECOND e4- G2 G4 0
FIRST f2- G3 B3 7
SECOND a2+ Y2 R3 0
FIRST e2- B3 R2 7
SECOND d1+ G4 R2 0
FIRST b2- Y2 Y4 7
SECOND e1- G2 R3 0
FIRST e4+ R2 G3 8
SECOND c2- B1 B2 0
FIRST d2+ G3 B1 7
SECOND a4+ R1 G1 0
FIRST a5- Y1 Y3 8
SECOND a6- G1 G4 0
FIRST a5+ B1 R4 8
SECOND c1- R2 Y2 0
FIRST b1+ B2 B2 7
SECOND c1+ B2 B4 0
FIRST f2+ Y3 R1 7
SECOND f1- Y2 B2 0
FIRST a2- B2 R3 7
SECOND d5- B2 Y4 0
FIRST b5- R1 R2 7
SECOND f3- R3 B4 0
FIRST d2- R3 R4 7
SECOND f6- Y4 Y4 0
FIRST d4+ R2 Y4 7
SECOND c5- G4 B3 0
FIRST e6+ Y4 Y1 7
SECOND f4- B4 B3 0
FIRST a6+ Y1 B1 6
SECOND c3- B4 B1 0
FIRST b4- B1 G2 6
SECOND b6+ R3 R1 0
FIRST a1+ G2 G1 6
SECOND e1+ B3 R2 0
FIRST b4+ G1 B4 6
SECOND e5+ B1 G3 0
FIRST c5+ B4 G4 6
SECOND e5- B3 G3 0
FIRST c6- R4 Y2 6
SECOND b2+ Y4 R4 0
FIRST b1- Y2 G4 6
SECOND f5- R4 R4 0
FIRST f4+ G4 G1 5
SECOND d3+ G3 Y3 0
FIRST f5+ B4 Y3 6
SECOND c4+ R4 Y3 0
FIRST d3- Y3 G2 5
SECOND d5+ R1 Y1 0
FIRST b3+ G1 R1 5
SECOND d6- Y3 Y1 0
FIRST b3- R1 X0 4
SECOND a3- G3 X0 0
FIRST e6- R4 X0 4
SECOND e3+ Y3 X0 0
FIRST d6+ G4 X0 3
SECOND a3+ R2 X0 0
FIRST b5+ Y4 X0 3
SECOND c2+ Y1 X0 0
FIRST b6- G2 X0 2
SECOND c4- Y1 X0 0
FINISH
SCOREFIRST 452
SCORESECOND 88
