[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y4 B4 R1 B1 Y1 G2 G1 R1 G2 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 R1 1760
SECOND b1+ B4 G3 0
FIRST c1- B4 R4 6
SECOND d6+ G2 Y3 0
FIRST b2- Y4 R2 6
SECOND b3+ G1 R4 0
FIRST e2+ R1 Y2 7
SECOND c3- Y3 Y1 0
FIRST f2- R1 Y3 7
SECOND e4+ G2 B2 0
FIRST f2+ Y1 B2 7
SECOND a5- R1 B1 0
FIRST e4- R2 Y2 7
SECOND a2- R4 G3 0
FIRST a2+ R4 Y4 7
SECOND e5- G3 R2 0
FIRST a1+ Y4 R3 9
SECOND e6+ B1 R3 0
FIRST e3+ Y2 Y3 8
SECOND d3+ Y1 B3 0
FIRST d5+ Y3 G4 8
SECOND c5- R3 R1 0
FIRST b1- G4 G2 7
SECOND d1+ B2 R4 0
FIRST e1- G2 G1 7
SECOND c5+ R1 B1 0
FIRST d3- G1 R2 7
SECOND f6- B3 G1 0
FIRST d2- B2 G2 8
SECOND e2- G1 G4 0
FIRST d2+ Y2 G1 7
SECOND b6- G4 G4 0
FIRST f1+ G1 R3 7
SECOND c4+ R2 Y3 0
FIRST f3- R2 B3 7
SECOND c1+ G4 R3 0
FIRST c2+ G2 B2 7
SECOND f4- B1 B2 0
FIRST c2- B2 B4 6
SECOND a6+ Y3 B3 0
FIRST a3- B4 G4 6
SECOND a6- R4 Y1 0
FIRST a3+ G4 G3 6
SECOND e6- G3 Y2 0
FIRST e5+ R3 B1 6
SECOND c4- B3 Y2 0
FIRST e1+ B1 G3 6
SECOND a4+ Y1 Y4 0
FIRST f5- Y3 B3 6
SECOND f5+ R3 B4 0
FIRST d6- R3 R4 5
SECOND f1- Y2 R2 0
FIRST b2+ R4 Y1 5
SECOND b6+ Y4 Y4 0
FIRST d5- B3 X0 4
SECOND b4- B2 X0 0
FIRST d4+ G3 X0 4
SECOND b3- B4 X0 0
FIRST f4+ G3 X0 3
SECOND b5+ Y2 X0 0
FIRST c6- Y1 X0 3
SECOND b5- R2 X0 0
FIRST b4+ B3 X0 3
SECOND a5+ Y4 X0 0
FINISH
SCOREFIRST 432
SCORESECOND 92
