[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R2 B1 R3 G4 B4 Y3 G2 R1 B3 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 Y4 1687
SECOND d2+ B3 Y1 0
FIRST d3+ B4 R2 7
SECOND e6- R1 B4 0
FIRST d6+ B1 B3 7
SECOND a4+ G2 R4 0
FIRST e2+ Y4 B3 7
SECOND f2+ B4 R2 0
FIRST a5- R2 R1 7
SECOND c4+ R4 Y2 0
FIRST d6- R1 B1 7
SECOND d1+ Y1 G3 0
FIRST e1- B1 R1 7
SECOND e3+ B1 G1 0
FIRST d2- R3 G1 7
SECOND d5- R2 R3 0
FIRST d5+ G1 B2 7
SECOND b4+ G3 B3 0
FIRST e5- R1 R4 7
SECOND a3+ Y2 Y4 0
FIRST f2- R4 Y2 7
SECOND a3- Y3 R3 0
FIRST c5+ R2 Y3 7
SECOND c6- R3 R4 0
FIRST b5- Y3 Y1 7
SECOND b4- B3 B2 0
FIRST e5+ Y1 G2 7
SECOND f1- B2 Y2 0
FIRST a2+ B3 Y4 7
SECOND b1+ Y4 Y4 0
FIRST d3- Y4 Y1 7
SECOND f5+ R4 G1 0
FIRST e4+ Y1 B4 6
SECOND b2+ Y4 G4 0
FIRST e2- B4 R4 6
SECOND f5- G1 G4 0
FIRST e1+ R4 G3 6
SECOND b6- G1 R1 0
FIRST b3+ G3 B2 6
SECOND a6+ G4 B1 0
FIRST c5- B2 Y3 6
SECOND c2- G4 R2 0
FIRST a5+ B3 G3 6
SECOND c2+ R1 G3 0
FIRST a6- Y3 Y2 6
SECOND f4- R3 Y1 0
FIRST b3- G3 G4 5
SECOND b1- Y2 Y3 0
FIRST f1+ G4 G2 5
SECOND c3- R2 G2 0
FIRST d4+ Y2 G1 5
SECOND a1+ G3 B4 0
FIRST e4- G1 R3 4
SECOND e6+ B4 B2 0
FIRST a2- R3 X0 4
SECOND b2- B2 X0 0
FIRST b5+ B2 X0 3
SECOND c1+ Y1 X0 0
FIRST c1- G2 X0 3
SECOND b6+ B1 X0 0
FIRST f6- G2 X0 2
SECOND c4- G2 X0 0
FIRST f3- Y2 X0 2
SECOND f4+ Y3 X0 0
FINISH
SCOREFIRST 312
SCORESECOND 92
