[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y3 G3 B4 B1 Y2 G3 Y4 B4 Y4 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 R1 1729
SECOND d4+ R4 G4 1
FIRST d5- B4 G2 6
SECOND a5- G4 G4 0
FIRST d3+ R1 G4 7
SECOND b5- Y4 R2 0
FIRST a5+ G4 B4 7
SECOND f2- G3 Y2 0
FIRST f2+ Y3 G4 7
SECOND e3+ G4 Y3 0
FIRST e4- G4 R2 8
SECOND e2+ B4 R3 0
FIRST e4+ B4 R3 7
SECOND c2+ Y3 R4 0
FIRST d2- G3 R4 8
SECOND e5- R2 G2 0
FIRST c5+ R4 R2 7
SECOND c3- R4 B4 0
FIRST d5+ G2 R1 7
SECOND b2- B4 R3 0
FIRST d2+ R3 R4 7
SECOND b6+ R3 B3 0
FIRST f3- R4 B2 7
SECOND e5+ B3 G1 0
FIRST d6- B2 G1 7
SECOND b2+ Y2 B2 0
FIRST c2- R2 Y4 7
SECOND d3- Y4 B2 0
FIRST c5- Y4 Y1 7
SECOND a1+ G1 Y2 0
FIRST d6+ Y2 B1 7
SECOND c6- Y2 B1 0
FIRST e6- R2 G3 7
SECOND a6- B1 R1 0
FIRST a6+ R1 G2 7
SECOND d1+ R1 Y1 0
FIRST e6+ G2 B2 6
SECOND e1- B2 Y1 0
FIRST f6- B2 B3 6
SECOND b1+ Y1 R2 0
FIRST b1- B1 B3 6
SECOND f1+ R3 B3 0
FIRST c1- Y1 Y1 6
SECOND b5+ G2 G1 0
FIRST c1+ G1 R3 5
SECOND b4+ B2 G3 0
FIRST a2- Y1 G1 5
SECOND b6- B3 G2 0
FIRST a2+ G1 Y3 5
SECOND f5- G2 Y3 0
FIRST f1- R3 Y4 5
SECOND f4- Y1 B1 0
FIRST c4+ Y4 Y2 4
SECOND e2- R2 R1 0
FIRST f5+ Y2 X0 4
SECOND b3- G1 X0 0
FIRST e1+ G3 X0 3
SECOND a3- B1 X0 0
FIRST a3+ B3 X0 4
SECOND f4+ Y3 X0 0
FIRST b4- Y3 X0 3
SECOND c4- G3 X0 0
FIRST b3+ B3 X0 2
SECOND a4+ R1 X0 0
FINISH
SCOREFIRST 306
SCORESECOND 82
