[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y1 B4 B2 R2 B1 G2 Y1 B2 B3 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 R3 1785
SECOND b4- G2 R3 0
FIRST b3+ B2 R4 6
SECOND d5- B3 G1 0
FIRST d5+ R3 G4 7
SECOND b3- R3 Y2 0
FIRST a3+ Y1 Y2 7
SECOND e6+ G1 G3 0
FIRST f6- B1 B3 7
SECOND e2+ Y1 R2 0
FIRST d6- B3 G1 7
SECOND d2- B2 B4 0
FIRST d3+ Y2 G1 7
SECOND b4+ R2 Y4 0
FIRST a3- G1 B4 7
SECOND d1+ Y2 G2 0
FIRST e2- G1 B1 7
SECOND e4- G2 R4 0
FIRST e6- B1 R1 8
SECOND b2- B1 R4 0
FIRST a2+ R1 B3 7
SECOND c4+ Y4 G4 0
FIRST c5- R4 R4 7
SECOND f4- G4 R2 0
FIRST c4- B4 G3 7
SECOND b1+ B4 Y3 0
FIRST e4+ R4 G2 7
SECOND e5+ R4 R3 0
FIRST e5- B4 Y4 7
SECOND c5+ R3 G1 0
FIRST e3+ G2 Y3 7
SECOND b5- G3 G4 0
FIRST d6+ G3 R2 7
SECOND d3- G1 B1 0
FIRST c6- B3 G4 7
SECOND f1+ R4 Y1 0
FIRST b6+ Y3 Y3 7
SECOND a5+ Y3 Y2 0
FIRST d4+ Y3 G3 7
SECOND e1+ R2 B4 0
FIRST b6- G3 Y2 6
SECOND e1- G4 B3 0
FIRST f5- G4 B2 6
SECOND a6+ B1 Y3 0
FIRST f4+ Y4 R3 6
SECOND f3- Y2 G3 0
FIRST b5+ R3 R1 6
SECOND a6- B3 B2 0
FIRST d2+ R1 G2 5
SECOND c2- B4 R1 0
FIRST f2+ Y2 Y4 5
SECOND a2- Y1 R1 0
FIRST f2- B2 Y1 5
SECOND b2+ Y3 Y4 0
FIRST f5+ Y4 X0 4
SECOND c1- R1 X0 0
FIRST c2+ G2 X0 4
SECOND a4+ R1 X0 0
FIRST c3- R2 X0 3
SECOND f1- Y4 X0 0
FIRST a1+ Y1 X0 3
SECOND a5- G3 X0 0
FIRST c1+ G4 X0 3
SECOND b1- B2 X0 0
FINISH
SCOREFIRST 432
SCORESECOND 84
