[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G4 B3 G2 Y3 B4 Y3 B2 B2 B1 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 Y1 1694
SECOND e4- Y3 R1 0
FIRST e3+ B3 R4 6
SECOND d2- Y3 R1 0
FIRST a3+ G2 B3 7
SECOND e5- B2 G2 0
FIRST d1+ B3 R2 7
SECOND b2- R1 B1 0
FIRST a2+ Y1 G1 7
SECOND c3- B2 Y2 0
FIRST a3- R2 R1 7
SECOND f2- B1 G4 0
FIRST f1+ G1 G4 7
SECOND d4+ G4 G2 0
FIRST f1- R1 G3 7
SECOND c2+ G2 B3 0
FIRST e1- G3 B2 7
SECOND d2+ B1 R3 1
FIRST b3+ B2 B1 7
SECOND b4- R1 G4 0
FIRST a2- B1 Y2 7
SECOND e6+ Y2 G3 0
FIRST b3- Y2 Y1 7
SECOND a5- B3 R4 0
FIRST e2+ Y1 Y3 6
SECOND a6+ G4 R2 0
FIRST e1+ Y3 G1 7
SECOND f2+ R3 Y4 0
FIRST e2- G1 R1 7
SECOND e5+ G3 B4 0
FIRST d3- R1 B4 7
SECOND f3- B4 R2 0
FIRST b6- G4 Y2 7
SECOND f5+ R2 Y1 0
FIRST c2- Y2 B1 7
SECOND c1- Y4 G1 0
FIRST d3+ B1 G3 6
SECOND c5+ G2 Y2 0
FIRST b6+ R4 R4 6
SECOND b1- Y2 R3 0
FIRST c6- B4 G2 6
SECOND e6- R4 Y4 0
FIRST b2+ G2 R3 6
SECOND a1+ G1 B4 0
FIRST a6- B4 B2 6
SECOND c4+ Y4 Y1 0
FIRST c1+ B2 R3 5
SECOND d6- B4 G3 0
FIRST a5+ G4 R2 5
SECOND b5+ Y1 B3 0
FIRST b5- R4 Y4 5
SECOND a4+ B3 G1 0
FIRST b4+ Y4 Y4 5
SECOND c4- G1 R4 0
FIRST f6- R2 X0 4
SECOND d5+ R4 X0 0
FIRST d5- Y4 X0 4
SECOND d6+ R2 X0 0
FIRST e4+ G3 X0 3
SECOND b1+ R3 X0 0
FIRST f4- R3 X0 3
SECOND f5- G3 X0 0
FIRST f4+ R3 X0 2
SECOND c5- Y1 X0 0
FINISH
SCOREFIRST 350
SCORESECOND 90
