[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B2 G4 B3 G1 R4 B3 Y1 Y3 B2 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 G4 1634
SECOND f4+ Y1 R1 0
FIRST f2+ B3 R3 7
SECOND e3+ R1 R4 0
FIRST f3- R3 B4 7
SECOND d3+ Y3 B2 0
FIRST a3+ B2 B2 8
SECOND b1- B2 G1 0
FIRST b3- B2 R1 8
SECOND c5+ G1 G2 0
FIRST c6- R1 Y3 8
SECOND d2- R2 Y2 0
FIRST d3- Y3 B4 8
SECOND b6+ R4 G2 0
FIRST b6- G4 R4 8
SECOND d1+ G2 G1 0
FIRST a6+ R4 Y2 8
SECOND b4- Y2 B1 0
FIRST b3+ Y2 Y4 8
SECOND c1+ B1 Y4 0
FIRST b5+ B4 B3 8
SECOND d6- G1 R4 0
FIRST c5- B4 R2 8
SECOND a4+ Y4 R3 0
FIRST a6- G4 R1 8
SECOND e5+ R3 G3 0
FIRST a5+ R4 G3 8
SECOND a2- B3 Y1 0
FIRST a5- Y4 R3 8
SECOND e5- G2 Y4 0
FIRST b4+ R2 G2 9
SECOND e4+ Y4 Y3 0
FIRST a3- G2 B1 8
SECOND b1+ Y3 B4 0
FIRST c1- R1 Y1 8
SECOND e1- B4 R2 0
FIRST e6- R3 Y1 7
SECOND a1+ Y1 Y2 0
FIRST d6+ B1 Y2 8
SECOND e1+ R4 R3 0
FIRST a2+ Y2 G2 8
SECOND d5+ R3 R1 0
FIRST b2- G2 Y3 8
SECOND f5- B2 G3 0
FIRST e6+ G3 Y4 7
SECOND f1+ Y2 B3 0
FIRST b5- Y4 G3 7
SECOND e2+ B3 B1 0
FIRST f2- Y3 B1 6
SECOND b2+ G3 G4 0
FIRST f6- G3 G1 7
SECOND f1- G4 G4 0
FIRST e2- B3 R2 5
SECOND c2+ B1 B4 0
FIRST c3- R2 X0 7
SECOND c2- R2 X0 0
FIRST d5- Y1 X0 4
SECOND d2+ R1 X0 0
FIRST f4- B1 X0 4
SECOND f5+ G3 X0 0
FIRST e4- Y1 X0 4
SECOND d4+ G4 X0 0
FIRST c4+ G1 X0 3
SECOND c4- B4 X0 0
FINISH
SCOREFIRST 294
SCORESECOND 104
