[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 B2 G3 R4 G1 B4 R3 Y1 R1 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 G2 1743
SECOND a3- B3 G3 0
FIRST e2+ B4 Y3 6
SECOND d5+ R1 Y2 0
FIRST a3+ G3 B1 6
SECOND e6- Y1 B2 0
FIRST d6- B1 R1 7
SECOND e6+ B4 R4 0
FIRST d6+ G1 Y3 6
SECOND c1+ R4 Y2 0
FIRST a2+ Y3 Y4 7
SECOND d4+ R3 G2 1
FIRST e5+ R1 R2 11
SECOND c6- G2 Y4 0
FIRST b3- Y3 G2 6
SECOND f5- Y4 R4 0
FIRST c2- Y4 B1 7
SECOND b1- G3 B3 1
FIRST e5- B1 G4 7
SECOND d2- R4 B1 0
FIRST c2+ G4 B3 8
SECOND b5- B2 G2 0
FIRST b3+ B3 R2 7
SECOND e2- Y2 G1 0
FIRST b6+ G2 B2 7
SECOND c5- G1 Y3 0
FIRST c5+ B2 G1 7
SECOND c3- Y3 R1 0
FIRST d5- G1 R3 7
SECOND a5- B1 B2 0
FIRST a2- R3 B3 7
SECOND f3- G2 G4 0
FIRST a1+ B3 R1 7
SECOND a6- B3 G4 0
FIRST e4+ R1 R4 6
SECOND d2+ B2 G1 0
FIRST b2+ R4 Y4 6
SECOND f6- G1 R2 0
FIRST c1- Y4 Y2 6
SECOND e1- Y2 B1 0
FIRST e1+ R2 G3 6
SECOND b2- R2 R3 1
FIRST b4- G3 G4 6
SECOND c4+ R1 G3 0
FIRST d1+ G4 B4 6
SECOND d3- G4 R2 0
FIRST d3+ B4 Y2 5
SECOND b5+ R3 Y4 0
FIRST f1- G2 R3 5
SECOND b1+ B1 Y3 0
FIRST a4+ R3 Y1 5
SECOND e4- Y4 Y1 0
FIRST f4- Y1 Y1 4
SECOND f1+ Y3 B4 0
FIRST f4+ Y1 X0 4
SECOND f2- R2 X0 0
FIRST f2+ Y2 X0 4
SECOND f5+ G3 X0 0
FIRST b6- B2 X0 3
SECOND b4+ G4 X0 0
FIRST a6+ R2 X0 2
SECOND c4- B4 X0 0
FIRST e3+ Y2 X0 2
SECOND a5+ Y1 X0 0
FINISH
SCOREFIRST 376
SCORESECOND 80
