[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B4 G2 Y1 B2 R1 B2 G2 G4 G1 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 Y3 1666
SECOND e2- B2 Y2 0
FIRST e2+ G2 Y2 7
SECOND e5- G1 B2 1
FIRST e5+ R1 B2 7
SECOND f6- B2 Y3 1
FIRST d5+ Y1 B3 7
SECOND a5- Y3 G1 0
FIRST d2+ Y2 Y4 6
SECOND c2- G1 R4 0
FIRST d2- B2 B4 7
SECOND e1- G4 B1 1
FIRST d1+ B4 B3 7
SECOND c1- B1 G3 1
FIRST a5+ B3 G4 12
SECOND a2+ G2 Y2 0
FIRST b5- B3 R2 8
SECOND f5+ Y2 R2 0
FIRST b4+ Y3 R2 7
SECOND b1- R4 Y1 0
FIRST c2+ R2 R4 7
SECOND c1+ R2 B4 0
FIRST d3- R2 G3 7
SECOND b2- G3 R2 0
FIRST e1+ Y4 Y1 8
SECOND a2- Y1 R3 0
FIRST d6- Y1 B1 7
SECOND d5- B4 B4 0
FIRST a4+ G3 Y3 7
SECOND a3- Y2 G2 0
FIRST b4- Y3 R3 8
SECOND f2+ B4 R3 0
FIRST a6- R3 R3 7
SECOND b6- Y4 B1 0
FIRST b3+ R3 G1 7
SECOND a3+ R2 R1 0
FIRST d6+ B1 G1 7
SECOND d4+ R3 Y3 0
FIRST e6- G1 Y2 6
SECOND b2+ Y3 R4 0
FIRST d3+ Y2 R1 6
SECOND a1+ B1 Y1 0
FIRST f5- G1 G2 6
SECOND c6- R3 B3 0
FIRST c3- G2 B1 6
SECOND f4+ B3 R1 0
FIRST e4+ R1 Y4 5
SECOND f1- R1 G4 0
FIRST e4- B1 R4 5
SECOND e3+ R1 Y4 0
FIRST b6+ G4 G4 5
SECOND b3- G4 G3 0
FIRST c5+ B4 G3 5
SECOND a6+ Y1 B3 0
FIRST b5+ G3 X0 4
SECOND c4- Y4 X0 0
FIRST c5- G4 X0 3
SECOND f4- B3 X0 0
FIRST c4+ R4 X0 3
SECOND b1+ R4 X0 0
FIRST f3- R4 X0 3
SECOND f1+ G3 X0 0
FIRST f2- Y4 X0 2
SECOND e6+ G2 X0 0
FINISH
SCOREFIRST 352
SCORESECOND 92
