[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT Y3 R2 R3 Y2 Y1 Y2 R1 B2 G1 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y2 G3 1637
SECOND e6+ G1 B3 1
FIRST f6- Y1 B2 7
SECOND c4+ B2 G2 0
FIRST c5- R2 B1 8
SECOND d2- R2 Y3 0
FIRST d3+ B2 R4 6
SECOND a6+ Y2 Y4 0
FIRST f5+ B1 Y2 6
SECOND d6- B3 R4 0
FIRST d6+ G3 G4 7
SECOND f3- Y4 R4 0
FIRST d5+ R3 Y4 7
SECOND e1- G2 B1 0
FIRST d1+ Y2 R3 7
SECOND e4+ R4 Y4 0
FIRST d5- Y3 B3 6
SECOND b2- R1 Y3 0
FIRST c5+ B3 G1 13
SECOND e5+ Y3 R1 0
FIRST e6- R3 G2 8
SECOND c1- B1 B4 0
FIRST b1+ G1 R1 7
SECOND e2- Y3 B1 0
FIRST c2+ G2 B1 7
SECOND b6+ Y4 Y1 0
FIRST c6- G4 R4 7
SECOND c4- Y1 G3 0
FIRST f5- R1 R1 7
SECOND b3+ R1 Y1 0
FIRST b1- B1 G1 6
SECOND e3+ R4 G3 0
FIRST e4- Y4 G2 6
SECOND e1+ B4 B2 0
FIRST f4+ G1 B4 6
SECOND b5- G3 R2 0
FIRST b6- R4 B4 6
SECOND f2+ Y1 G4 0
FIRST d4+ R4 G4 6
SECOND b3- G4 B3 0
FIRST c3- G2 Y4 6
SECOND a6- R2 B4 0
FIRST e5- B4 B3 6
SECOND a5- G3 G1 0
FIRST f4- B4 Y1 6
SECOND a1+ B4 R3 0
FIRST a5+ B3 G3 5
SECOND c1+ B3 G2 0
FIRST a2+ Y1 B2 5
SECOND b2+ R3 Y2 0
FIRST a2- R1 Y3 5
SECOND a4+ G1 G4 0
FIRST d2+ B2 R2 4
SECOND a3- B1 R3 0
FIRST d3- R2 X0 4
SECOND b5+ R3 X0 0
FIRST c2- G3 X0 4
SECOND e2+ G2 X0 0
FIRST a3+ Y4 X0 3
SECOND f1+ G4 X0 0
FIRST f1- G4 X0 2
SECOND b4- B2 X0 0
FIRST b4+ Y3 X0 2
SECOND f2- Y2 X0 0
FINISH
SCOREFIRST 364
SCORESECOND 94
