[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R2 G3 B1 B1 Y2 R4 R2 B3 G2 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 Y3 1643
SECOND c6- Y4 Y2 1
FIRST e3+ B1 G2 6
SECOND d4+ B3 G2 1
FIRST e4- G3 G1 6
SECOND e2- G2 B4 0
FIRST e2+ R2 B2 7
SECOND a5- R4 G1 1
FIRST d3+ G1 R4 8
SECOND c2- Y2 R4 0
FIRST c5+ R4 Y4 6
SECOND c2+ R2 R3 0
FIRST c1+ G2 R3 7
SECOND c5- G1 G1 0
FIRST b2+ Y2 R3 7
SECOND f3- G2 Y1 1
FIRST e4+ R3 B3 7
SECOND e5- R4 G3 0
FIRST b2- B2 G1 7
SECOND a6- R3 G3 0
FIRST a6+ Y3 B4 8
SECOND f2+ Y1 B3 0
FIRST f4- B3 R1 7
SECOND d5+ G1 B4 0
FIRST f4+ R3 G3 8
SECOND b1- G3 Y2 0
FIRST f5- G3 R4 6
SECOND d2+ B4 Y4 0
FIRST d2- Y4 B4 7
SECOND d1+ B4 B1 0
FIRST b5+ R1 Y1 6
SECOND b6- Y4 Y3 0
FIRST b6+ B4 G2 7
SECOND d6+ G3 G4 0
FIRST a2+ G2 Y2 6
SECOND a1+ Y3 Y3 0
FIRST a3- Y2 G4 7
SECOND e6- Y3 B2 0
FIRST e1- G4 R2 6
SECOND b4+ B3 R1 0
FIRST a2- R2 Y1 6
SECOND c3- B1 R2 0
FIRST e1+ B4 B2 6
SECOND b1+ G4 B1 0
FIRST a3+ B2 Y3 6
SECOND d5- Y2 G4 0
FIRST e5+ Y3 Y4 5
SECOND a5+ B2 R3 0
FIRST d3- R4 G4 5
SECOND f1- R1 R1 0
FIRST b3+ Y1 B3 5
SECOND e6+ B1 B2 0
FIRST d6- B3 R1 5
SECOND f5+ R2 Y1 0
FIRST f6- Y1 X0 4
SECOND a4+ B2 X0 0
FIRST c1- Y4 X0 4
SECOND b4- R3 X0 0
FIRST c4+ G1 X0 3
SECOND b3- G4 X0 0
FIRST c4- R1 X0 3
SECOND b5- R1 X0 0
FIRST f1+ G4 X0 3
SECOND f2- Y1 X0 0
FINISH
SCOREFIRST 310
SCORESECOND 82
