[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT B3 Y1 R2 B4 B4 B4 R4 Y4 R4 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 G4 1643
SECOND f5- G1 B1 0
FIRST d3+ B4 R4 6
SECOND b4+ R4 G2 0
FIRST b5- R4 B1 6
SECOND c3- R4 R3 0
FIRST b3+ G4 B1 6
SECOND a6+ G2 Y1 0
FIRST f4+ B1 R1 7
SECOND a5+ Y1 Y4 0
FIRST f4- Y1 B2 7
SECOND c4- R3 G1 0
FIRST e5+ B1 R3 7
SECOND e4- Y4 Y2 0
FIRST e4+ R1 Y3 7
SECOND d6- B1 G2 0
FIRST c4+ Y3 G3 7
SECOND f5+ G1 G4 0
FIRST a6- B2 G2 7
SECOND a1+ Y4 R3 0
FIRST c5- G3 Y2 7
SECOND d2+ G2 Y3 0
FIRST c5+ B3 B2 8
SECOND f6- B4 G3 0
FIRST c6- R3 Y3 7
SECOND d3- G3 R2 0
FIRST b5+ Y3 R1 7
SECOND a4+ Y2 B3 0
FIRST e5- R1 R3 7
SECOND e6- G4 Y3 0
FIRST b6- R3 Y4 7
SECOND b3- R2 B4 0
FIRST b4- Y4 G1 7
SECOND a5- Y3 R1 0
FIRST d5+ G1 Y2 7
SECOND f1- B3 R1 0
FIRST a3+ G2 B3 7
SECOND a2+ R1 G4 0
FIRST b6+ B3 G3 7
SECOND e1- Y3 R2 0
FIRST d5- G3 R2 6
SECOND e2- B4 Y1 0
FIRST a3- Y2 R4 6
SECOND d4+ R1 B3 0
FIRST e2+ R4 G1 6
SECOND c1- B3 Y2 0
FIRST d6+ G1 Y4 6
SECOND e3+ R3 B2 0
FIRST e6+ Y4 G2 5
SECOND a2- R2 B1 0
FIRST b2+ R2 Y1 5
SECOND f2- Y1 B2 0
FIRST b2- G2 G4 5
SECOND e1+ G4 G3 0
FIRST b1+ Y2 X0 4
SECOND b1- G3 X0 0
FIRST c2- B2 X0 3
SECOND f1+ B2 X0 0
FIRST c1+ R2 X0 3
SECOND f3- Y2 X0 0
FIRST c2+ G4 X0 2
SECOND d2- B1 X0 0
FIRST f2+ Y1 X0 2
SECOND d1+ B2 X0 0
FINISH
SCOREFIRST 342
SCORESECOND 108
