[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G1 G4 B3 Y1 B3 R2 Y3 Y2 B1 R3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 R3 1655
SECOND b5- Y2 B4 1
FIRST e2+ G1 B4 7
SECOND b6- Y3 B1 1
FIRST b6+ B3 G3 6
SECOND c2+ B4 Y2 0
FIRST c6- R3 R1 6
SECOND e6+ R2 G1 1
FIRST c2- G4 R3 7
SECOND c3- Y2 B3 0
FIRST c5+ B3 B2 7
SECOND a6+ B3 G4 0
FIRST a6- G3 G2 7
SECOND b2+ G1 R4 1
FIRST a5+ R3 B1 8
SECOND b2- B1 Y4 0
FIRST f2- R1 R4 8
SECOND e1- Y4 Y3 0
FIRST f1+ B1 G1 8
SECOND d5+ G4 B2 0
FIRST d3+ G1 G3 8
SECOND c5- B1 Y1 0
FIRST a5- G3 Y4 8
SECOND b3+ R4 Y1 0
FIRST b4+ B2 B4 8
SECOND d4+ Y1 G2 0
FIRST f6- G2 Y1 7
SECOND e5- Y1 R1 0
FIRST f1- Y1 Y3 7
SECOND b3- R1 R4 0
FIRST a4+ Y3 G2 7
SECOND a1+ Y3 R3 0
FIRST d1+ R4 R2 10
SECOND e4+ B2 R2 0
FIRST d2- Y4 Y2 9
SECOND f3- R2 Y4 0
FIRST c1+ B4 Y2 7
SECOND b5+ Y4 G1 0
FIRST d2+ B4 R1 7
SECOND b1+ R3 G3 0
FIRST d3- R1 Y3 7
SECOND d6+ G1 G3 0
FIRST b4- Y3 Y4 6
SECOND e2- G3 G4 0
FIRST c1- Y4 B1 6
SECOND f4+ G2 R1 0
FIRST e1+ B1 R2 6
SECOND c4+ R1 B3 0
FIRST f4- R2 G4 6
SECOND d5- R3 B2 0
FIRST e4- Y2 R4 6
SECOND d6- G4 G2 0
FIRST e3+ G2 B2 5
SECOND f5+ B2 B4 0
FIRST f5- Y2 X0 5
SECOND a2- G3 X0 0
FIRST e5+ R2 X0 4
SECOND a3+ B4 X0 0
FIRST e6- B2 X0 3
SECOND b1- G2 X0 0
FIRST a3- G4 X0 3
SECOND f2+ R4 X0 0
FIRST a2+ R4 X0 2
SECOND c4- B3 X0 0
FINISH
SCOREFIRST 438
SCORESECOND 96
