[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R4 Y4 Y2 Y3 R3 G1 B3 R4 G4 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 G4 1740
SECOND f5- R4 G2 0
FIRST d3+ R3 B4 6
SECOND f4- B3 R2 0
FIRST f4+ G4 G3 7
SECOND e3+ G2 Y4 0
FIRST e5+ R4 G2 7
SECOND a3- Y4 Y1 0
FIRST e5- Y4 R4 7
SECOND f2- Y3 R3 0
FIRST e2+ G3 B3 7
SECOND d6+ R2 B1 0
FIRST d5+ B4 R2 7
SECOND d3- G1 R1 0
FIRST d5- R4 G1 7
SECOND b1- B1 G3 0
FIRST f2+ B3 B2 9
SECOND b3- R3 R1 0
FIRST d6- Y2 B3 7
SECOND a5+ G4 G1 0
FIRST e2- B3 B1 7
SECOND a1+ G3 G4 0
FIRST e4- R2 Y3 7
SECOND c5+ Y1 G2 0
FIRST d2+ Y3 G1 7
SECOND f3- R1 R2 0
FIRST c6- G1 Y4 7
SECOND b4- R2 Y4 0
FIRST d4+ Y4 G2 6
SECOND b4+ G4 Y2 0
FIRST b3+ G2 R1 7
SECOND c2- G2 B1 0
FIRST c5- G1 G3 6
SECOND c3- Y4 B2 0
FIRST d2- G3 B1 6
SECOND a6- B1 Y1 0
FIRST b5+ B1 B4 7
SECOND b1+ B2 G3 0
FIRST e6- B4 Y1 6
SECOND a2+ R1 R4 0
FIRST b5- R1 R3 6
SECOND e1+ G1 B4 0
FIRST c2+ R3 G4 5
SECOND f1+ Y2 B4 0
FIRST e4+ G4 Y1 5
SECOND b6+ B4 Y3 0
FIRST c4+ B1 R1 5
SECOND b2+ G3 R3 0
FIRST b6- Y1 R2 5
SECOND d1+ R3 Y2 0
FIRST a6+ Y1 Y2 5
SECOND b2- Y1 B3 0
FIRST c4- R1 B2 4
SECOND a3+ B4 B2 0
FIRST a4+ G2 X0 5
SECOND f1- Y2 X0 0
FIRST c1- R2 X0 3
SECOND f5+ B2 X0 0
FIRST c1+ B2 X0 3
SECOND a5- B3 X0 0
FIRST f6- Y2 X0 3
SECOND e6+ R4 X0 0
FIRST e1- B2 X0 2
SECOND a2- Y3 X0 0
FINISH
SCOREFIRST 368
SCORESECOND 78
