[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R3 B2 R1 R2 G4 Y1 G3 Y2 Y4 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 G3 1920
SECOND b1- B4 R3 0
FIRST e3+ B2 G2 7
SECOND c4- G3 R1 0
FIRST b4+ R3 B3 8
SECOND f6- R3 R2 0
FIRST b5- G3 R4 7
SECOND c2- R2 Y3 0
FIRST a1+ G4 Y4 8
SECOND e4+ R1 G1 0
FIRST c2+ G2 B1 8
SECOND e6+ Y2 R3 0
FIRST b4- B3 B1 7
SECOND a2- Y1 G2 0
FIRST a2+ B1 Y3 8
SECOND d4+ G1 R4 0
FIRST e4- B1 B4 8
SECOND c5- R3 Y1 0
FIRST c4+ Y3 Y2 7
SECOND b2+ Y3 G1 0
FIRST e2+ Y2 B3 8
SECOND a5+ G1 B4 0
FIRST b5+ B3 R2 8
SECOND c6- Y4 G2 0
FIRST b1+ R4 R4 7
SECOND b3- G2 G4 0
FIRST c1- Y4 B4 7
SECOND c1+ G4 B2 0
FIRST b2- R4 G3 7
SECOND b6- B4 B3 0
FIRST a4+ G3 R1 7
SECOND a3- B2 B2 0
FIRST b6+ B4 Y3 7
SECOND b3+ B3 R1 0
FIRST a5- Y3 G4 7
SECOND d3- Y1 G4 0
FIRST a3+ R2 R3 7
SECOND c5+ R4 Y3 0
FIRST c3- R3 Y1 7
SECOND f2- B2 Y2 0
FIRST f4- R1 G1 6
SECOND e1- R1 B1 0
FIRST d5- B4 G1 6
SECOND f1- B1 B1 0
FIRST a6+ G4 Y2 6
SECOND a6- Y3 Y4 0
FIRST e1+ R1 Y1 6
SECOND f3- Y4 R2 0
FIRST d3+ Y2 Y4 5
SECOND f5- R2 G3 0
FIRST f4+ Y1 G2 5
SECOND e2- Y2 B3 0
FIRST d5+ Y4 B2 5
SECOND e5+ G2 R4 0
FIRST e6- G2 X0 5
SECOND d2+ G3 X0 0
FIRST d1+ Y1 X0 4
SECOND f1+ B3 X0 0
FIRST f2+ B2 X0 3
SECOND d6- B1 X0 0
FIRST e5- G1 X0 3
SECOND f5+ R4 X0 0
FIRST d2- G1 X0 3
SECOND d6+ G4 X0 0
FINISH
SCOREFIRST 360
SCORESECOND 126
