[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G1 B1 G3 R1 Y2 R4 Y1 Y3 G1 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 R1 1634
SECOND c4+ R1 B4 0
FIRST e2+ G1 B4 6
SECOND f4- R4 B1 1
FIRST d3+ B1 B1 8
SECOND a1+ G1 G4 0
FIRST f4+ B4 Y1 7
SECOND c2- B4 Y2 0
FIRST c5- B1 R4 6
SECOND a5- B1 G4 0
FIRST e2- R1 Y3 7
SECOND f2+ Y2 G1 0
FIRST d2+ Y1 G2 9
SECOND a5+ G1 Y1 1
FIRST c1+ R4 Y3 8
SECOND d6+ Y1 Y2 0
FIRST f2- Y2 Y1 7
SECOND b6+ Y3 G3 0
FIRST d3- Y1 B3 7
SECOND a4+ G3 B2 0
FIRST c6- Y3 B3 7
SECOND b1+ B2 R4 0
FIRST b6- G3 Y4 7
SECOND d6- Y1 Y3 0
FIRST b5+ B3 B2 7
SECOND b1- G4 B1 0
FIRST a6+ Y3 G4 7
SECOND a3- Y2 B4 0
FIRST a6- B3 Y2 7
SECOND d5- G4 B3 0
FIRST f1+ B2 Y4 7
SECOND b3+ R4 B2 0
FIRST b2- Y2 R2 6
SECOND d4+ B4 G3 0
FIRST a2+ R2 B4 6
SECOND a3+ Y3 B3 0
FIRST b2+ G2 R4 6
SECOND e4- B3 R3 0
FIRST d5+ G4 G3 6
SECOND d2- B3 R3 0
FIRST b5- G3 G1 6
SECOND c2+ B2 R2 0
FIRST e1+ G1 G4 6
SECOND c5+ R3 R2 0
FIRST e4+ G4 R2 6
SECOND c4- B1 Y4 0
FIRST e5- R4 G2 7
SECOND c1- R2 Y4 0
FIRST e5+ Y4 B2 5
SECOND a2- Y4 G2 0
FIRST f5- Y4 R3 5
SECOND b3- R2 R1 0
FIRST e6- B4 R3 5
SECOND f5+ Y4 G2 0
FIRST b4+ R3 X0 4
SECOND f6- G2 X0 0
FIRST b4- R3 X0 4
SECOND c3- R3 X0 0
FIRST f1- R2 X0 3
SECOND f3- G3 X0 0
FIRST e6+ B2 X0 3
SECOND d1+ R1 X0 0
FIRST e3+ G2 X0 2
SECOND e1- G2 X0 0
FINISH
SCOREFIRST 394
SCORESECOND 124
