[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R1 G2 R1 B3 B4 R4 R3 Y4 B1 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 G3 1645
SECOND b5+ Y4 Y1 1
FIRST c5- B4 Y4 8
SECOND b2- R4 R1 0
FIRST d3+ G3 G1 7
SECOND f2- Y1 G1 0
FIRST f2+ R1 Y2 7
SECOND a3+ R1 Y2 1
FIRST b3- R1 R4 10
SECOND d6+ Y2 B4 0
FIRST b5- R4 Y1 7
SECOND a4+ G1 B2 0
FIRST b3+ Y1 R4 8
SECOND b6+ B1 Y2 0
FIRST b4- G1 B1 7
SECOND e6+ B4 B3 0
FIRST a3- B1 R2 8
SECOND b1+ B3 Y3 0
FIRST d6- R2 Y1 7
SECOND c1- G3 G2 0
FIRST a2+ Y1 R3 7
SECOND c5+ G2 R1 0
FIRST c6- Y2 B1 7
SECOND d1+ Y3 R4 0
FIRST a2- B1 Y2 7
SECOND d5- R1 R2 0
FIRST a5+ Y4 Y3 7
SECOND e4+ Y2 Y4 0
FIRST a5- R4 G4 7
SECOND e3+ R3 B3 0
FIRST a6- G4 Y3 7
SECOND d5+ B2 G4 0
FIRST e5- Y2 B2 7
SECOND b1- G4 Y1 0
FIRST e4- G2 G3 6
SECOND f4+ R2 G4 0
FIRST f4- B2 G4 7
SECOND c2+ B3 G2 0
FIRST b6- G4 B2 6
SECOND f5- G2 Y3 0
FIRST d4+ B2 B4 6
SECOND e1+ Y1 R2 0
FIRST a6+ B4 Y4 6
SECOND d3- Y4 B4 0
FIRST b4+ Y4 R3 6
SECOND c1+ R4 B2 0
FIRST d2- Y3 R2 5
SECOND d2+ R2 B1 0
FIRST e5+ R2 B3 5
SECOND c2- B2 G3 0
FIRST c3- Y3 G2 5
SECOND f3- B1 G1 0
FIRST e6- G2 G1 5
SECOND c4+ Y3 R3 0
FIRST b2+ G1 X0 4
SECOND f1+ G4 X0 0
FIRST e1- R3 X0 4
SECOND a1+ R3 X0 0
FIRST c4- B3 X0 3
SECOND f5+ G1 X0 0
FIRST e2+ G3 X0 3
SECOND f1- B4 X0 0
FIRST e2- R3 X0 3
SECOND f6- G3 X0 0
FINISH
SCOREFIRST 394
SCORESECOND 84
