[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G1 Y1 B3 B1 G3 G2 Y1 G1 R2 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 R2 1646
SECOND a6+ Y1 R3 1
FIRST e2+ G1 B2 6
SECOND b3+ R3 Y4 0
FIRST b6- Y1 B3 6
SECOND c5- G1 B4 0
FIRST b4- G3 R4 6
SECOND a5+ R2 Y3 0
FIRST a5- B2 B1 7
SECOND e2- B4 B1 0
FIRST b5+ B1 R3 7
SECOND d1+ B1 G2 1
FIRST b4+ B3 Y3 8
SECOND e4+ B2 G3 0
FIRST b5- R3 G2 8
SECOND c6- G3 B3 1
FIRST b3- B3 Y3 8
SECOND c4+ Y3 G1 0
FIRST c4- Y3 R1 8
SECOND d2+ Y4 Y4 0
FIRST a3+ Y3 B2 8
SECOND c3- B3 R4 0
FIRST b6+ R1 G4 7
SECOND f1+ R4 B2 0
FIRST e4- B2 G1 7
SECOND e1+ G2 B1 0
FIRST a6- G1 G3 8
SECOND b1+ Y4 R2 0
FIRST a3- G3 R3 7
SECOND c1+ R2 B4 0
FIRST a2+ R3 Y4 7
SECOND d3- B4 Y2 0
FIRST c2- G2 Y4 7
SECOND e5- G2 R1 0
FIRST d5+ R2 Y2 7
SECOND a1+ R1 Y1 0
FIRST d6- Y2 G4 7
SECOND b1- B1 G3 0
FIRST d2- R4 Y1 6
SECOND b2+ Y1 Y2 0
FIRST c5+ Y1 B4 6
SECOND f5- Y2 Y3 0
FIRST d3+ G4 R1 6
SECOND c2+ G1 G4 0
FIRST d5- R1 G2 6
SECOND e6- Y3 R3 0
FIRST e5+ G2 R2 5
SECOND a2- B2 R4 0
FIRST d6+ R2 B4 5
SECOND f4- R4 R1 0
FIRST b2- B4 Y2 5
SECOND a4+ R1 G4 0
FIRST d4+ Y2 R4 5
SECOND e1- R3 B3 0
FIRST f4+ B4 X0 5
SECOND e3+ G4 X0 0
FIRST f2- Y4 X0 3
SECOND c1- Y2 X0 0
FIRST f2+ R4 X0 3
SECOND f3- B3 X0 0
FIRST f1- Y4 X0 2
SECOND e6+ G4 X0 0
FIRST f6- G4 X0 2
SECOND f5+ G3 X0 0
FINISH
SCOREFIRST 352
SCORESECOND 86
