[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT G1 Y3 B4 Y4 R2 B2 G2 Y4 B4 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 G4 1695
SECOND f3- B2 R4 1
FIRST e3+ B4 R4 6
SECOND d3- G2 B2 0
FIRST f2+ R2 B3 8
SECOND c1- Y3 B1 1
FIRST d3+ R4 B4 6
SECOND d5+ R4 Y2 0
FIRST d6- B4 R2 6
SECOND a4+ B2 B1 1
FIRST d6+ G4 G3 7
SECOND e2- B1 R1 0
FIRST c1+ B3 B3 7
SECOND f5- R1 G1 0
FIRST e2+ G1 G2 7
SECOND e6- Y2 Y1 0
FIRST e6+ R2 G1 7
SECOND b4+ B1 Y4 0
FIRST b5- G1 R4 7
SECOND e1+ Y1 G3 0
FIRST c2- B3 R1 7
SECOND c4- B4 G4 0
FIRST a5- G2 R3 7
SECOND f1- G4 B3 0
FIRST b2+ Y3 Y1 7
SECOND a3+ B3 R2 0
FIRST b3- G3 Y2 7
SECOND a2+ Y4 Y2 0
FIRST a3- R3 B1 7
SECOND b1- G3 R3 0
FIRST e1- B1 Y2 6
SECOND b1+ Y4 G4 0
FIRST b2- R4 Y3 7
SECOND d5- G4 R3 0
FIRST b3+ Y3 B2 6
SECOND e5- Y2 B3 0
FIRST e5+ B2 G2 6
SECOND c6- G1 G1 0
FIRST d1+ R1 Y4 6
SECOND b5+ R2 R2 0
FIRST d2- Y1 B2 6
SECOND c5+ B3 R1 0
FIRST f6- B2 G3 6
SECOND a5+ R1 R4 0
FIRST b4- G3 Y1 6
SECOND f4- R2 G2 0
FIRST e4+ Y2 B1 5
SECOND d4+ G1 Y3 0
FIRST d2+ B1 R3 5
SECOND c3- Y3 B4 0
FIRST c2+ R3 G4 5
SECOND f1+ R3 G3 0
FIRST f4+ Y2 R1 4
SECOND f2- R3 Y1 0
FIRST f5+ G2 X0 4
SECOND c4+ G2 X0 0
FIRST b6+ R1 X0 4
SECOND a6- B4 X0 0
FIRST a6+ Y4 X0 3
SECOND a2- R4 X0 0
FIRST a1+ G4 X0 2
SECOND e4- G3 X0 0
FIRST b6- Y1 X0 2
SECOND c5- Y1 X0 0
FINISH
SCOREFIRST 346
SCORESECOND 94
