[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R1 G2 R4 G1 G1 B4 R4 B1 B1 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 B1 1669
SECOND f5- Y4 Y3 1
FIRST e2+ R1 G4 12
SECOND c2- Y3 G1 0
FIRST d3+ B1 Y2 13
SECOND e5+ B4 Y2 0
FIRST f4+ G4 G3 8
SECOND e6- B1 G3 0
FIRST d6+ G1 R1 10
SECOND b2+ B1 B3 0
FIRST d6- R1 Y4 9
SECOND a2- G1 Y4 0
FIRST f4- R4 G4 7
SECOND b1+ Y2 R3 0
FIRST e4+ Y4 R3 8
SECOND c2+ Y4 G3 0
FIRST e5- G4 R3 7
SECOND a5+ B3 R2 0
FIRST c1- Y2 R2 7
SECOND a1+ R3 G2 0
FIRST a5- R3 B4 7
SECOND b6- G3 G4 0
FIRST d5+ B4 Y3 7
SECOND f2- R4 B4 0
FIRST b5- Y3 B1 7
SECOND b4- R2 G1 0
FIRST b5+ R3 G3 7
SECOND c3- G3 B2 0
FIRST a4+ G3 B4 7
SECOND e2- B4 B2 0
FIRST e4- B4 Y1 7
SECOND d2- G2 R3 0
FIRST a6- G3 Y1 7
SECOND c4- G4 Y2 0
FIRST d3- Y1 Y2 6
SECOND e1+ Y2 R4 0
FIRST e3+ Y1 R4 6
SECOND c5- B2 R2 0
FIRST d4+ R4 Y3 6
SECOND a2+ R2 G2 0
FIRST a6+ Y3 Y4 6
SECOND f1- R3 Y3 0
FIRST d5- Y4 B3 6
SECOND a3- G2 R1 0
FIRST b2- G2 G2 6
SECOND d2+ B2 B3 0
FIRST b4+ B3 B2 6
SECOND e1- R1 Y1 0
FIRST a3+ R2 B2 5
SECOND f2+ B3 G4 0
FIRST b3- Y2 B3 5
SECOND d1+ Y3 R1 0
FIRST b3+ G2 R2 5
SECOND f5+ G4 Y1 0
FIRST b1- B2 X0 4
SECOND c5+ Y1 X0 0
FIRST c1+ B2 X0 4
SECOND f3- R4 X0 0
FIRST b6+ B3 X0 3
SECOND f1+ G1 X0 0
FIRST c6- B1 X0 3
SECOND f6- R1 X0 0
FIRST c4+ R2 X0 2
SECOND e6+ Y1 X0 0
FINISH
SCOREFIRST 420
SCORESECOND 80
