[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python random-code.py P2"]
[RESULT "1-0"]
INIT R1 Y2 G4 B3 Y4 B2 R3 G2 G2 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 R2 1687
SECOND c4+ R3 G3 0
FIRST a3+ Y2 G3 7
SECOND d3+ B2 R4 0
FIRST a3- R2 R1 7
SECOND d5- R4 B1 0
FIRST c5- G3 G2 7
SECOND e1+ G4 Y3 0
FIRST d5+ G4 Y4 7
SECOND b3+ G2 Y4 0
FIRST b3- G2 G1 7
SECOND b1- Y4 B3 0
FIRST a1+ Y4 R3 7
SECOND a6+ G2 B4 0
FIRST e2- Y4 Y2 7
SECOND c6- B1 B4 0
FIRST a2+ Y2 B3 7
SECOND e4- Y3 Y1 0
FIRST e3+ R3 G3 7
SECOND e6- B3 B3 0
FIRST e4+ B3 R4 7
SECOND b5- B4 R1 0
FIRST e1- R4 R4 7
SECOND a4+ G3 B1 0
FIRST d6- R4 Y3 7
SECOND b6+ R1 R2 0
FIRST d4+ G3 G1 7
SECOND f5- R2 R4 0
FIRST e5- Y3 B1 8
SECOND a2- B1 R3 0
FIRST b6- R1 B4 7
SECOND b4+ R4 G4 0
FIRST c5+ R1 B1 7
SECOND e6+ G4 Y3 0
FIRST f6- B4 B4 7
SECOND c3- B3 G1 0
FIRST b5+ B1 G2 7
SECOND f3- G1 Y2 0
FIRST b2- G2 Y1 7
SECOND f2+ Y2 R2 0
FIRST f1- B4 R3 7
SECOND d6+ Y3 B2 0
FIRST e5+ R3 G4 6
SECOND d2+ B4 Y1 0
FIRST d1+ G4 R2 6
SECOND e2+ R3 R1 0
FIRST b2+ R2 B2 6
SECOND d3- R1 G1 0
FIRST b4- B2 Y3 6
SECOND c2+ G1 Y4 0
FIRST f4- Y3 B2 7
SECOND c2- R2 Y2 0
FIRST b1+ B2 Y1 5
SECOND a5- Y1 G3 0
FIRST a5+ G1 X0 5
SECOND d2- Y4 X0 0
FIRST a6- B1 X0 4
SECOND f2- B2 X0 0
FIRST c1+ Y1 X0 3
SECOND f5+ Y1 X0 0
FIRST c1- Y1 X0 3
SECOND f4+ Y2 X0 0
FIRST f1+ G1 X0 3
SECOND c4- G3 X0 0
FINISH
SCOREFIRST 356
SCORESECOND 84
